prefix,total_paths,pk_paths,pk_asns
175.107.235.0/24,354,0,
59.103.102.0/24,389,151,PTCL
101.53.228.0/24,354,0,
103.18.13.0/24,352,0,
101.53.251.0/24,362,60,PTCL
103.18.12.0/24,353,0,
175.107.238.0/24,373,0,
139.135.40.0/24,353,101,PTCL
153.117.42.0/24,342,0,
2400:add9:100::/40,347,0,
202.163.69.0/24,367,0,
202.163.118.0/24,367,0,
153.117.19.0/24,342,0,
2400:adc5::/40,352,0,
101.53.224.0/24,364,73,PTCL
2400:adc0:c003::/48,334,0,
59.103.99.0/24,361,0,
175.107.246.0/23,346,3,PTCL
103.31.100.0/24,353,0,
2400:adc0:4510::/48,330,0,
203.101.162.0/24,398,104,PTCL
101.53.225.0/24,354,0,
72.255.5.0/24,354,7,PTCL
103.244.174.0/24,354,0,
202.163.92.0/24,343,0,
202.163.68.0/24,354,0,
124.29.218.0/24,350,0,
103.18.9.0/24,348,0,
153.117.15.0/24,342,9,PTCL
72.255.12.0/24,349,349,PTCL
2400:adc7:900::/40,338,0,
2001:4538:c001::/48,345,0,
153.117.16.0/24,341,0,
139.135.44.0/24,362,297,PTCL
58.65.198.0/24,354,0,
202.163.95.0/24,387,194,PTCL
2400:adc4::/40,371,371,PTCL
153.117.0.0/24,342,0,
36.255.40.0/24,353,0,
2400:adc7:5800::/40,338,0,
206.135.179.0/24,42,0,
2400:adc0:4303::/48,330,0,
2400:adc0:4400::/48,335,0,
206.168.200.0/24,3,3,PTCL
103.26.80.0/24,348,348,PTCL
72.255.18.0/24,362,313,PTCL
72.255.29.0/24,363,0,
202.47.59.0/24,354,0,
14.1.106.0/24,352,0,
124.29.192.0/24,373,0,
2400:adcc:3800::/40,370,370,PTCL
175.107.202.0/24,370,0,
124.29.204.0/24,373,0,
103.26.83.0/24,353,0,
153.117.124.0/24,342,0,
58.65.201.0/24,360,0,
139.135.34.0/24,365,1,PTCL
72.255.41.0/24,354,0,
175.107.228.0/24,353,102,PTCL
153.117.32.0/24,342,0,
101.53.226.0/23,325,0,
2400:adcc:3000::/40,337,0,
2400:adcc:2000::/40,338,0,
59.103.123.0/24,341,0,
202.163.85.0/24,373,0,
2400:adc3::/40,348,0,
137.59.146.0/24,349,98,PTCL
124.29.221.0/24,346,0,
103.244.176.0/22,346,3,PTCL
61.5.133.0/24,373,0,
206.135.161.0/24,55,0,
103.213.114.0/24,353,0,
59.103.117.0/24,354,0,
101.53.246.0/24,341,0,
59.103.112.0/24,349,0,
202.47.36.0/24,354,0,
2400:adc2:600::/40,371,371,PTCL
202.47.47.0/24,367,0,
124.29.236.0/24,373,0,
72.255.46.0/24,353,0,
2400:adc0:4411::/48,335,0,
153.117.49.0/24,342,0,
72.255.52.0/24,362,313,PTCL
2400:adc1:200::/40,338,0,
137.59.147.0/24,360,0,
124.29.199.0/24,378,0,
202.47.46.0/24,367,0,
139.135.55.0/24,361,80,PTCL
2400:add9:200::/40,338,0,
2400:addf:800::/40,370,370,PTCL
101.53.247.0/24,385,385,PTCL
124.29.245.0/24,372,0,
2400:adcc:3900::/40,370,370,PTCL
139.135.45.0/24,368,0,
124.29.234.0/24,349,0,
202.163.96.0/24,373,0,
2400:adcc:4000::/40,337,0,
2400:adc0:4010::/48,347,0,
124.29.205.0/24,369,0,
175.107.249.0/24,373,0,
2400:adc7:800::/40,338,0,
2400:adcc:180::/41,332,0,
175.107.211.0/24,354,0,
124.29.203.0/24,373,0,
144.48.121.0/24,354,0,
2400:adc0:4410::/48,335,0,
175.107.239.0/24,372,57,PTCL
202.47.48.0/24,367,0,
124.29.193.0/24,328,0,
175.107.200.0/24,354,0,
153.117.43.0/24,344,344,PTCL
72.255.51.0/24,364,139,PTCL
101.53.229.0/24,354,0,
153.117.122.0/24,342,0,
101.53.239.0/24,373,0,
103.31.92.0/24,348,348,PTCL
2400:adc0:1::/48,329,0,
72.255.31.0/24,363,308,PTCL
14.1.104.0/24,366,0,
139.135.63.0/24,369,0,
72.255.28.0/24,354,0,
59.103.122.0/24,349,349,PTCL
103.213.113.0/24,349,349,PTCL
72.255.59.0/24,351,326,PTCL
203.101.167.0/24,373,0,
72.255.53.0/24,341,0,
203.101.190.0/24,341,0,
153.117.53.0/24,363,29,PTCL
59.103.124.0/24,348,219,PTCL
153.117.38.0/24,342,0,
137.59.226.0/23,354,0,
139.135.42.0/24,362,305,PTCL
101.53.226.0/24,370,0,
72.255.13.0/24,354,0,
203.101.168.0/23,325,0,
206.135.163.0/24,42,0,
2400:adcc:1800::/40,338,0,
209.101.28.0/24,42,0,
2400:adc0:c000::/48,334,0,
58.65.202.0/24,373,0,
2400:adc0:100::/48,329,0,
175.107.208.0/24,348,348,PTCL
72.255.26.0/24,366,98,PTCL
2400:adc7:5100::/40,366,366,PTCL
58.65.195.0/24,354,0,
202.163.105.0/24,385,385,PTCL
61.5.135.0/24,373,0,
202.47.50.0/24,367,0,
2400:adc5:400::/40,352,0,
153.117.12.0/24,338,1,PTCL
2400:adc0:4110::/48,335,0,
101.53.230.0/24,360,0,
202.163.83.0/24,354,0,
202.163.65.0/24,342,0,
153.117.17.0/24,341,0,
103.244.175.0/24,354,0,
137.59.218.0/24,354,0,
2400:addb:100::/40,371,371,PTCL
153.117.40.0/24,342,9,PTCL
140.235.83.0/24,3,3,PTCL
36.255.35.0/24,353,0,
2400:adce::/40,371,371,PTCL
124.29.201.0/24,373,0,
175.107.226.0/24,359,0,
175.107.236.0/24,354,0,
175.107.203.0/24,354,0,
2400:adc7:1900::/40,366,366,PTCL
202.163.102.0/24,348,348,PTCL
203.101.187.0/24,354,0,
203.101.182.0/24,354,0,
72.255.6.0/24,375,29,PTCL
153.117.30.0/24,342,0,
202.163.93.0/24,387,193,PTCL
202.163.119.0/24,373,0,
139.135.32.0/24,360,116,PTCL
103.244.174.0/23,345,3,PTCL
192.140.149.0/24,341,0,
59.103.103.0/24,380,380,PTCL
153.117.125.0/24,342,0,
2400:adc5::/42,332,0,
192.140.144.0/24,363,308,PTCL
103.213.111.0/24,353,0,
59.103.114.0/24,354,0,
2400:adc7:2800::/40,337,0,
2400:adc2:700::/40,371,371,PTCL
139.135.53.0/24,349,0,
2400:adc0:12::/48,329,0,
