trace_time,target_hostname,target_label,target_category,probe_id,probe_asn,probe_city,target_ip,target_asn,target_asn_name,target_country,dest_rtt_ms,total_hops,timeout_hops,asns_in_path,countries_in_path,dest_location,location_via,destination_responded,measurement_id
2026-06-11T22:16:33+00:00,dunyanews.tv,Dunya News,news,1015679,136174,LocalInternetProj01,202.142.167.148,9260,"MULTINET-AS-AP - Multinet Pakistan Pvt. Ltd., PK",PK,,0,6,,,"Islamabad, Islamabad, PK",server IP,False,179311279
2026-06-11T22:31:33+00:00,dunyanews.tv,Dunya News,news,1015679,136174,LocalInternetProj01,202.142.167.148,9260,"MULTINET-AS-AP - Multinet Pakistan Pvt. Ltd., PK",PK,,0,6,,,"Islamabad, Islamabad, PK",server IP,False,179311279
2026-06-11T22:46:22+00:00,dunyanews.tv,Dunya News,news,1015679,136174,LocalInternetProj01,202.142.167.148,9260,"MULTINET-AS-AP - Multinet Pakistan Pvt. Ltd., PK",PK,,0,6,,,"Islamabad, Islamabad, PK",server IP,False,179311279
2026-06-11T23:01:25+00:00,dunyanews.tv,Dunya News,news,1015679,136174,LocalInternetProj01,202.142.167.148,9260,"MULTINET-AS-AP - Multinet Pakistan Pvt. Ltd., PK",PK,,0,6,,,"Islamabad, Islamabad, PK",server IP,False,179311279
2026-06-11T23:16:27+00:00,dunyanews.tv,Dunya News,news,1015679,136174,LocalInternetProj01,202.142.167.148,9260,"MULTINET-AS-AP - Multinet Pakistan Pvt. Ltd., PK",PK,,0,6,,,"Islamabad, Islamabad, PK",server IP,False,179311279
2026-06-11T23:31:30+00:00,dunyanews.tv,Dunya News,news,1015679,136174,LocalInternetProj01,202.142.167.148,9260,"MULTINET-AS-AP - Multinet Pakistan Pvt. Ltd., PK",PK,,0,6,,,"Islamabad, Islamabad, PK",server IP,False,179311279
2026-06-11T23:46:25+00:00,dunyanews.tv,Dunya News,news,1015679,136174,LocalInternetProj01,202.142.167.148,9260,"MULTINET-AS-AP - Multinet Pakistan Pvt. Ltd., PK",PK,,0,6,,,"Islamabad, Islamabad, PK",server IP,False,179311279
2026-06-12T00:01:28+00:00,dunyanews.tv,Dunya News,news,1015679,136174,LocalInternetProj01,202.142.167.148,9260,"MULTINET-AS-AP - Multinet Pakistan Pvt. Ltd., PK",PK,,0,6,,,"Islamabad, Islamabad, PK",server IP,False,179311279
2026-06-12T00:16:26+00:00,dunyanews.tv,Dunya News,news,1015679,136174,LocalInternetProj01,202.142.167.148,9260,"MULTINET-AS-AP - Multinet Pakistan Pvt. Ltd., PK",PK,,0,6,,,"Islamabad, Islamabad, PK",server IP,False,179311279
2026-06-12T00:31:35+00:00,dunyanews.tv,Dunya News,news,1015679,136174,LocalInternetProj01,202.142.167.148,9260,"MULTINET-AS-AP - Multinet Pakistan Pvt. Ltd., PK",PK,,0,6,,,"Islamabad, Islamabad, PK",server IP,False,179311279
