target_hostname,target_label,target_category,probe_id,probe_asn,probe_city,trace_time,hop,hop_ip,rtt_ms,hop_asn,hop_prefix,hop_country,hop_asn_name,is_private,is_timeout,target_ip,target_asn,target_asn_name,target_country,destination_responded,measurement_id
hbl.com,HBL Bank,banking,60223,23674,Nayatel,2026-06-11T10:49:34+00:00,8,110.93.252.136,23.106,,110.93.192.0/18,PK,TWA,False,False,45.60.73.176,19551,"INCAPSULA - Incapsula Inc, US",US,True,179311289
hbl.com,HBL Bank,banking,60223,23674,Nayatel,2026-06-11T10:49:34+00:00,9,110.93.252.233,134.1,,110.93.192.0/18,PK,TWA,False,False,45.60.73.176,19551,"INCAPSULA - Incapsula Inc, US",US,True,179311289
hbl.com,HBL Bank,banking,60223,23674,Nayatel,2026-06-11T10:49:34+00:00,10,*,,,,,,False,True,45.60.73.176,19551,"INCAPSULA - Incapsula Inc, US",US,True,179311289
hbl.com,HBL Bank,banking,60223,23674,Nayatel,2026-06-11T10:49:34+00:00,11,154.54.72.109,129.513,174,154.48.0.0/12,US,"COGENT-174 - Cogent Communications, LLC, US",False,False,45.60.73.176,19551,"INCAPSULA - Incapsula Inc, US",US,True,179311289
hbl.com,HBL Bank,banking,60223,23674,Nayatel,2026-06-11T10:49:34+00:00,12,66.28.4.197,200.28,174,66.28.0.0/16,US,"COGENT-174 - Cogent Communications, LLC, US",False,False,45.60.73.176,19551,"INCAPSULA - Incapsula Inc, US",US,True,179311289
hbl.com,HBL Bank,banking,60223,23674,Nayatel,2026-06-11T10:49:34+00:00,13,154.54.30.114,200.297,174,154.48.0.0/12,US,"COGENT-174 - Cogent Communications, LLC, US",False,False,45.60.73.176,19551,"INCAPSULA - Incapsula Inc, US",US,True,179311289
hbl.com,HBL Bank,banking,60223,23674,Nayatel,2026-06-11T10:49:34+00:00,14,38.122.35.199,210.199,174,38.0.0.0/8,US,"COGENT-174 - Cogent Communications, LLC, US",False,False,45.60.73.176,19551,"INCAPSULA - Incapsula Inc, US",US,True,179311289
hbl.com,HBL Bank,banking,60223,23674,Nayatel,2026-06-11T10:49:34+00:00,15,131.125.129.85,210.276,19551,131.125.129.0/24,NL,"INCAPSULA - Incapsula Inc, US",False,False,45.60.73.176,19551,"INCAPSULA - Incapsula Inc, US",US,True,179311289
hbl.com,HBL Bank,banking,60223,23674,Nayatel,2026-06-11T10:49:34+00:00,16,45.60.73.176,199.897,19551,45.60.73.0/24,US,"INCAPSULA - Incapsula Inc, US",False,False,45.60.73.176,19551,"INCAPSULA - Incapsula Inc, US",US,True,179311289
hbl.com,HBL Bank,banking,60223,23674,Nayatel,2026-06-11T11:04:42+00:00,1,192.168.18.1,0.795,,,,RFC1918,True,False,45.60.73.176,19551,"INCAPSULA - Incapsula Inc, US",US,True,179311289
hbl.com,HBL Bank,banking,60223,23674,Nayatel,2026-06-11T11:04:42+00:00,2,100.89.32.1,3.525,,100.64.0.0/10,,SHARED-ADDRESS-SPACE-RFC6598-IANA-RESERVED,False,False,45.60.73.176,19551,"INCAPSULA - Incapsula Inc, US",US,True,179311289
hbl.com,HBL Bank,banking,60223,23674,Nayatel,2026-06-11T11:04:42+00:00,3,172.27.0.29,2.722,,,,RFC1918,True,False,45.60.73.176,19551,"INCAPSULA - Incapsula Inc, US",US,True,179311289
hbl.com,HBL Bank,banking,60223,23674,Nayatel,2026-06-11T11:04:42+00:00,4,172.27.0.22,2.218,,,,RFC1918,True,False,45.60.73.176,19551,"INCAPSULA - Incapsula Inc, US",US,True,179311289
hbl.com,HBL Bank,banking,60223,23674,Nayatel,2026-06-11T11:04:42+00:00,5,172.31.5.170,2.937,,,,RFC1918,True,False,45.60.73.176,19551,"INCAPSULA - Incapsula Inc, US",US,True,179311289
hbl.com,HBL Bank,banking,60223,23674,Nayatel,2026-06-11T11:04:42+00:00,6,110.93.202.134,22.734,,110.93.192.0/18,PK,TWA,False,False,45.60.73.176,19551,"INCAPSULA - Incapsula Inc, US",US,True,179311289
