trace_id,trace_time,isp,target_hostname,target_ip,observed_path,bgp_paths_found,validation,partial_type
11673,2026-06-16T04:55:54+00:00,ptcl,mcb.com.pk,192.124.249.159,17557 > 2914 > 30148,334,partial,interesting
11675,2026-06-16T04:56:06+00:00,ptcl,dawn.com,172.67.72.98,17557 > 3356 > 13335,371,partial,interesting
11684,2026-06-16T04:56:55+00:00,cybernet,nadra.gov.pk,2.19.193.138,9541 > 8529 > 6939 > 20940,335,partial,interesting
11685,2026-06-16T04:57:11+00:00,zcom,telemart.pk,172.67.195.207,152605 > 38193 > 58453 > 13335,369,partial,interesting
11696,2026-06-16T04:58:31+00:00,ptcl,daraz.pk,47.246.167.168,17557 > 7473 > 4845 > 45102,339,partial,interesting
11709,2026-06-16T04:59:51+00:00,cybernet,hbl.com,45.60.109.176,9541 > 1299 > 19551,333,partial,interesting
11713,2026-06-16T05:00:03+00:00,nayatel,daraz.pk,47.246.167.168,7473 > 4845 > 45102,339,partial,interesting
11719,2026-06-16T05:00:12+00:00,nova,express.com.pk,172.67.174.102,6327 > 38193 > 58453 > 13335,370,partial,interesting
11720,2026-06-16T05:00:13+00:00,ptcl,express.com.pk,172.67.174.102,17557 > 3356 > 13335,370,partial,interesting
11728,2026-06-16T05:01:26+00:00,zcom,mcb.com.pk,192.124.249.159,152605 > 38193 > 6762 > 3257 > 30148,335,partial,interesting
11729,2026-06-16T05:01:32+00:00,nova,telemart.pk,172.67.195.207,6327 > 38193 > 58453 > 13335,369,partial,interesting
11730,2026-06-16T05:01:32+00:00,ptcl,telemart.pk,172.67.195.207,17557 > 3356 > 13335,369,partial,interesting
11735,2026-06-16T05:10:34+00:00,zcom,express.com.pk,172.67.174.102,152605 > 38193 > 58453 > 13335,370,partial,interesting
11739,2026-06-16T05:10:46+00:00,ptcl,mcb.com.pk,192.124.249.159,17557 > 2914 > 30148,335,partial,interesting
11742,2026-06-16T05:10:50+00:00,nova,mcb.com.pk,192.124.249.159,6327 > 38193 > 6762 > 3257 > 30148,335,partial,interesting
11747,2026-06-16T05:11:15+00:00,ptcl,dawn.com,172.67.72.98,17557 > 3356 > 13335,371,partial,interesting
11753,2026-06-16T05:11:53+00:00,cybernet,nadra.gov.pk,2.19.193.138,9541 > 8529 > 6939 > 20940,335,partial,interesting
11756,2026-06-16T05:12:16+00:00,zcom,telemart.pk,172.67.195.207,152605 > 38193 > 58453 > 13335,369,partial,interesting
11766,2026-06-16T05:13:29+00:00,ptcl,daraz.pk,47.246.167.168,17557 > 7473 > 4845 > 45102,339,partial,interesting
11779,2026-06-16T05:14:56+00:00,cybernet,hbl.com,45.60.109.176,9541 > 1299 > 19551,333,partial,interesting
11784,2026-06-16T05:15:07+00:00,nayatel,daraz.pk,47.246.167.168,7473 > 4845 > 45102,339,partial,interesting
11785,2026-06-16T05:15:08+00:00,nova,express.com.pk,172.67.174.102,6327 > 38193 > 58453 > 13335,370,partial,interesting
11790,2026-06-16T05:15:14+00:00,ptcl,express.com.pk,172.67.174.102,17557 > 3356 > 13335,370,partial,interesting
11796,2026-06-16T05:16:19+00:00,zcom,mcb.com.pk,192.124.249.159,152605 > 38193 > 6762 > 3257 > 30148,335,partial,interesting
11798,2026-06-16T05:16:21+00:00,nova,telemart.pk,172.67.195.207,6327 > 38193 > 58453 > 13335,369,partial,interesting
11800,2026-06-16T05:16:33+00:00,ptcl,telemart.pk,172.67.195.207,17557 > 3356 > 13335,369,partial,interesting
11805,2026-06-16T05:25:38+00:00,zcom,express.com.pk,172.67.174.102,152605 > 38193 > 58453 > 13335,370,partial,interesting
11808,2026-06-16T05:25:43+00:00,ptcl,mcb.com.pk,192.124.249.159,17557 > 2914 > 30148,335,partial,interesting
11810,2026-06-16T05:25:46+00:00,nova,mcb.com.pk,192.124.249.159,6327 > 38193 > 6762 > 3257 > 30148,335,partial,interesting
11818,2026-06-16T05:26:16+00:00,ptcl,dawn.com,172.67.72.98,17557 > 3356 > 13335,371,partial,interesting
11823,2026-06-16T05:26:54+00:00,cybernet,nadra.gov.pk,2.19.193.138,9541 > 8529 > 6939 > 20940,335,partial,interesting
11825,2026-06-16T05:27:07+00:00,zcom,telemart.pk,172.67.195.207,152605 > 38193 > 58453 > 13335,369,partial,interesting
11837,2026-06-16T05:28:35+00:00,ptcl,daraz.pk,47.246.167.168,17557 > 7473 > 4845 > 45102,339,partial,interesting
11848,2026-06-16T05:29:53+00:00,cybernet,hbl.com,45.60.109.176,9541 > 1299 > 19551,333,partial,interesting
11852,2026-06-16T05:30:02+00:00,nayatel,daraz.pk,47.246.167.168,7473 > 4845 > 45102,339,partial,interesting
11855,2026-06-16T05:30:05+00:00,ptcl,express.com.pk,172.67.174.102,17557 > 3356 > 13335,370,partial,interesting
11861,2026-06-16T05:30:16+00:00,nova,express.com.pk,172.67.174.102,6327 > 38193 > 58453 > 13335,370,partial,interesting
11866,2026-06-16T05:31:14+00:00,zcom,mcb.com.pk,192.124.249.159,152605 > 38193 > 6762 > 3257 > 30148,335,partial,interesting
11867,2026-06-16T05:31:20+00:00,ptcl,telemart.pk,172.67.195.207,17557 > 3356 > 13335,369,partial,interesting
