isp,probe_id,site,min_rtt_ms,pop_class,ratio_vs_best,provider,mechanism,hop_count_responding,verdict,maxrtt
tes,64722,motifz.com.pk,2.8,local,1.27,Cloudflare,own_network_direct_registry,6,LOCAL,3.4
nayatel,65892,motifz.com.pk,2.9,local,1.32,Cloudflare,no_visible_handoff_short_path,3,LOCAL,3.4
fasttel,1014872,motifz.com.pk,21.8,regional,9.91,Cloudflare,via_PTCL,8,LOCAL,28.3
nova,1015679,motifz.com.pk,17.4,regional,7.91,Cloudflare,via_Transworld_registry,6,LOCAL,25.9
cybernet,1016036,motifz.com.pk,117.5,distant,53.41,Cloudflare,own_network_direct,9,TROMBONE,130.1
ptcl,1016126,motifz.com.pk,25.2,regional,11.45,Cloudflare,own_network_direct,6,LOCAL,26.7
cybernet,1016143,motifz.com.pk,99.4,distant,45.18,Cloudflare,own_network_direct_registry,4,TROMBONE,100.0
cybernet,1016154,motifz.com.pk,108.7,distant,49.41,Cloudflare,own_network_direct_registry,3,TROMBONE,108.8
ptcl,1016393,motifz.com.pk,27.7,regional,12.59,Cloudflare,own_network_direct,6,TROMBONE,222.8
zcom,7613,pesconlinebill.pk,91.3,distant,43.48,Cloudflare,via_foreign_transit_China Mobile Intl (HK),10,TROMBONE,149.5
nayatel,60223,pesconlinebill.pk,2.1,local,1.0,Cloudflare,no_visible_handoff_short_path,3,LOCAL,3.7
transworld,62224,pesconlinebill.pk,95.2,distant,45.33,Cloudflare,no_visible_handoff_short_path,3,LOCAL,1.3
tes,64078,pesconlinebill.pk,98.1,distant,46.71,Cloudflare,via_foreign_transit_China Mobile Intl (HK),12,TROMBONE,103.8
orbit,64535,pesconlinebill.pk,93.4,distant,44.48,Cloudflare,via_foreign_transit_China Mobile Intl (HK),13,TROMBONE,113.3
tes,64722,pesconlinebill.pk,78.1,distant,37.19,Cloudflare,via_foreign_transit_China Mobile Intl (HK),11,TROMBONE,175.7
nayatel,65892,pesconlinebill.pk,2.7,local,1.29,Cloudflare,no_visible_handoff_short_path,3,LOCAL,3.4
fasttel,1014872,pesconlinebill.pk,127.1,distant,60.52,Cloudflare,via_foreign_transit_Level3/Lumen,11,TROMBONE,274.9
nova,1015679,pesconlinebill.pk,92.3,distant,43.95,Cloudflare,via_foreign_transit_China Mobile Intl (HK),11,TROMBONE,101.0
cybernet,1016036,pesconlinebill.pk,22.6,regional,10.76,Cloudflare,own_network_direct,8,LOCAL,25.2
ptcl,1016126,pesconlinebill.pk,129.8,distant,61.81,Cloudflare,via_foreign_transit_Level3/Lumen,9,TROMBONE,287.1
cybernet,1016143,pesconlinebill.pk,4.3,local,2.05,Cloudflare,own_network_direct_registry,4,LOCAL,4.8
cybernet,1016154,pesconlinebill.pk,3.7,local,1.76,Cloudflare,own_network_direct_registry,3,LOCAL,3.8
ptcl,1016393,pesconlinebill.pk,129.9,distant,61.86,Cloudflare,via_foreign_transit_Level3/Lumen,9,TROMBONE,482.3
zcom,7613,pinkpetals.pk,91.9,distant,39.96,Cloudflare,via_foreign_transit_China Mobile Intl (HK),10,TROMBONE,169.7
nayatel,60223,pinkpetals.pk,2.3,local,1.0,Cloudflare,no_visible_handoff_short_path,3,LOCAL,3.3
transworld,62224,pinkpetals.pk,94.2,distant,40.96,Cloudflare,no_visible_handoff_short_path,3,TROMBONE,96.5
tes,64078,pinkpetals.pk,97.3,distant,42.3,Cloudflare,via_foreign_transit_China Mobile Intl (HK),12,TROMBONE,104.0
orbit,64535,pinkpetals.pk,93.8,distant,40.78,Cloudflare,via_foreign_transit_China Mobile Intl (HK),12,TROMBONE,99.8
tes,64722,pinkpetals.pk,78.1,distant,33.96,Cloudflare,via_foreign_transit_China Mobile Intl (HK),11,TROMBONE,175.4
nayatel,65892,pinkpetals.pk,3.1,local,1.35,Cloudflare,no_visible_handoff_short_path,3,LOCAL,3.8
fasttel,1014872,pinkpetals.pk,200.3,distant,87.09,Cloudflare,via_foreign_transit_Level3/Lumen,11,TROMBONE,270.8
nova,1015679,pinkpetals.pk,92.8,distant,40.35,Cloudflare,via_foreign_transit_China Mobile Intl (HK),11,TROMBONE,117.4
cybernet,1016036,pinkpetals.pk,22.3,regional,9.7,Cloudflare,via_foreign_transit_Omantel,10,TROMBONE,41.9
ptcl,1016126,pinkpetals.pk,262.9,distant,114.3,Cloudflare,via_foreign_transit_Level3/Lumen,9,TROMBONE,294.0
