probe_id,probe_isp,target,cls,distance_km,theoretical_ms,measured_ms,ratio,intercity
1016143,cybernet,777sxgameapp.pk,Abroad,12148.8,118.979,325.1,2.73,True
1016154,cybernet,777sxgameapp.pk,Abroad,12148.7,118.978,332.2,2.79,True
1016393,ptcl,777sxgameapp.pk,Abroad,11467.1,112.302,288.8,2.57,True
7613,zcom,apkzone.pk,Abroad,5431.4,53.193,140.5,2.64,True
7764,ptcl,apkzone.pk,Abroad,5439.5,53.271,155.3,2.92,True
60223,nayatel,apkzone.pk,Abroad,5176.4,50.694,138.8,2.74,True
62224,transworld,apkzone.pk,Abroad,5439.4,53.27,136.3,2.56,True
64078,tes,apkzone.pk,Abroad,5432.1,53.199,138.4,2.6,True
64535,orbit,apkzone.pk,Abroad,5353.3,52.427,134.9,2.57,True
64722,tes,apkzone.pk,Abroad,5438.5,53.261,119.8,2.25,True
65892,nayatel,apkzone.pk,Abroad,5432.4,53.202,138.3,2.6,True
1014872,fasttel,apkzone.pk,Abroad,5183.0,50.759,139.2,2.74,True
1015491,zcom,apkzone.pk,Abroad,5429.5,53.174,135.3,2.54,True
1015679,nova,apkzone.pk,Abroad,5441.5,53.291,133.9,2.51,True
1016126,ptcl,apkzone.pk,Abroad,5427.9,53.158,159.6,3.0,True
1016143,cybernet,apkzone.pk,Abroad,5428.1,53.16,118.6,2.23,True
1016154,cybernet,apkzone.pk,Abroad,5428.1,53.16,125.6,2.36,True
1016393,ptcl,apkzone.pk,Abroad,5155.1,50.486,144.6,2.86,True
7613,zcom,bbise.edu.pk,Pakistan,8.3,0.081,27.5,338.61,False
7764,ptcl,bbise.edu.pk,Pakistan,14.8,0.145,33.3,229.3,False
60223,nayatel,bbise.edu.pk,Pakistan,266.6,2.611,33.5,12.83,True
62224,transworld,bbise.edu.pk,Pakistan,14.7,0.144,30.7,212.82,False
64078,tes,bbise.edu.pk,Pakistan,7.5,0.073,33.8,461.7,False
64535,orbit,bbise.edu.pk,Pakistan,116.4,1.14,31.1,27.27,True
64722,tes,bbise.edu.pk,Pakistan,1035.6,10.142,13.4,1.32,True
65892,nayatel,bbise.edu.pk,Pakistan,7.8,0.077,34.1,445.37,False
1014872,fasttel,bbise.edu.pk,Pakistan,257.7,2.524,33.8,13.39,True
1015491,zcom,bbise.edu.pk,Pakistan,4.3,0.042,36.5,875.93,False
1015679,nova,bbise.edu.pk,Pakistan,16.6,0.163,28.9,177.48,False
1016126,ptcl,bbise.edu.pk,Pakistan,1035.9,10.145,37.3,3.68,True
1016143,cybernet,bbise.edu.pk,Pakistan,1036.0,10.146,15.9,1.57,True
1016154,cybernet,bbise.edu.pk,Pakistan,1035.9,10.145,16.1,1.59,True
1016393,ptcl,bbise.edu.pk,Pakistan,285.3,2.794,39.1,13.99,True
7613,zcom,cpsp.edu.pk,Pakistan,1031.0,10.097,16.9,1.67,True
7764,ptcl,cpsp.edu.pk,Pakistan,1033.0,10.116,22.6,2.23,True
60223,nayatel,cpsp.edu.pk,Pakistan,1141.2,11.176,24.3,2.17,True
62224,transworld,cpsp.edu.pk,Pakistan,1032.8,10.115,19.9,1.97,True
64078,tes,cpsp.edu.pk,Pakistan,1033.5,10.122,25.6,2.53,True
64535,orbit,cpsp.edu.pk,Pakistan,942.5,9.23,19.1,2.07,True
64722,tes,cpsp.edu.pk,Pakistan,10.5,0.103,2.8,27.15,False
