isp,probe_id,site,min_rtt_ms,pop_class,ratio_vs_best
tes,64078,uos.edu.pk,97.3,distant,40.54
orbit,64535,uos.edu.pk,94.4,distant,39.33
tes,64722,uos.edu.pk,77.9,distant,32.46
nayatel,65892,uos.edu.pk,2.9,local,1.21
fasttel,1014872,uos.edu.pk,125.4,distant,52.25
nova,1015679,uos.edu.pk,92.7,distant,38.62
cybernet,1016036,uos.edu.pk,22.1,regional,9.21
ptcl,1016126,uos.edu.pk,129.9,distant,54.13
cybernet,1016143,uos.edu.pk,4.3,local,1.79
cybernet,1016154,uos.edu.pk,3.9,local,1.62
ptcl,1016393,uos.edu.pk,129.8,distant,54.08
zcom,7613,zu.edu.pk,16.1,regional,6.71
nayatel,60223,zu.edu.pk,2.4,local,1.0
transworld,62224,zu.edu.pk,20.0,regional,8.33
tes,64078,zu.edu.pk,22.0,regional,9.17
orbit,64535,zu.edu.pk,19.0,regional,7.92
tes,64722,zu.edu.pk,2.7,local,1.13
nayatel,65892,zu.edu.pk,2.7,local,1.13
fasttel,1014872,zu.edu.pk,127.1,distant,52.96
nova,1015679,zu.edu.pk,17.3,regional,7.21
cybernet,1016036,zu.edu.pk,22.6,regional,9.42
ptcl,1016126,zu.edu.pk,129.8,distant,54.08
cybernet,1016143,zu.edu.pk,4.4,local,1.83
cybernet,1016154,zu.edu.pk,4.0,local,1.67
ptcl,1016393,zu.edu.pk,132.2,distant,55.08
zcom,7613,pesco.com.pk,91.1,distant,41.41
nayatel,60223,pesco.com.pk,2.2,local,1.0
transworld,62224,pesco.com.pk,96.4,distant,43.82
tes,64078,pesco.com.pk,97.4,distant,44.27
orbit,64535,pesco.com.pk,94.4,distant,42.91
tes,64722,pesco.com.pk,78.1,distant,35.5
nayatel,65892,pesco.com.pk,2.8,local,1.27
fasttel,1014872,pesco.com.pk,202.5,distant,92.05
nova,1015679,pesco.com.pk,92.7,distant,42.14
cybernet,1016036,pesco.com.pk,22.5,regional,10.23
ptcl,1016126,pesco.com.pk,272.4,distant,123.82
cybernet,1016143,pesco.com.pk,4.4,local,2.0
cybernet,1016154,pesco.com.pk,4.0,local,1.82
ptcl,1016393,pesco.com.pk,267.0,distant,121.36
zcom,7613,khushhalibank.com.pk,225.4,distant,1.46
nayatel,60223,khushhalibank.com.pk,170.6,distant,1.1
transworld,62224,khushhalibank.com.pk,314.4,distant,2.03
tes,64078,khushhalibank.com.pk,251.8,distant,1.63
orbit,64535,khushhalibank.com.pk,228.2,distant,1.47
tes,64722,khushhalibank.com.pk,282.9,distant,1.83
nayatel,65892,khushhalibank.com.pk,154.8,distant,1.0
fasttel,1014872,khushhalibank.com.pk,160.3,distant,1.04
nova,1015679,khushhalibank.com.pk,309.0,distant,2.0
cybernet,1016036,khushhalibank.com.pk,318.4,distant,2.06
ptcl,1016126,khushhalibank.com.pk,156.6,distant,1.01
cybernet,1016143,khushhalibank.com.pk,290.7,distant,1.88
