kind,src_probe,src_label,dst_probe,dst_label,dst_ip,status,evidence,exit_name,exit_country,transit_name,max_rtt_ms,dest_rtt_ms,n_hops,reached,rtt_min_ms,rtt_avg_ms,packets_sent,packets_received,measurement_id
trace,1016036,cybernet.hrp,64078,tes.lhe,149.40.243.172,trombone_hop,foreign_hop,EQUINIX-AP,SG,CYBERNET-AP - Cyber Inte,118.7,119.1,17,False,,,,,204225363
trace,1016036,cybernet.hrp,64722,tes.khi,119.73.97.135,local,,,,,24.6,24.4,16,False,,,,,204225364
trace,1016036,cybernet.hrp,65892,nayatel.lhe,154.192.116.198,local,,,,,24.9,24.0,15,False,,,,,204225366
trace,1016036,cybernet.hrp,1014872,fasttel.isb,103.189.68.92,trombone_hop,foreign_hop,"COGENT-174 - Cogent Communications, LLC,",US,CYBERNET-AP - Cyber Inte,44.7,44.3,17,False,,,,,204225367
trace,1016036,cybernet.hrp,1015210,ptcl.khi,182.185.145.65,trombone_rtt,rtt_jump=166 max_rtt=190,(foreign hop not visible -- RTT evidence,?,CYBERNET-AP - Cyber Inte,190.0,190.1,14,False,,,,,204225368
trace,1016036,cybernet.hrp,1015679,nova.lhe,103.184.1.10,local,,,,,40.1,40.1,16,False,,,,,204225369
trace,1016036,cybernet.hrp,1016126,ptcl.khi,39.39.112.114,trombone_rtt,rtt_jump=167 max_rtt=189,(foreign hop not visible -- RTT evidence,?,CYBERNET-AP - Cyber Inte,189.3,189.3,14,False,,,,,204225371
trace,1016036,cybernet.hrp,1016143,cybernet.khi,103.244.174.231,local,,,,,23.2,23.0,12,False,,,,,204225372
trace,1016126,ptcl.khi,7613,zcom.lhe,157.20.147.16,local,,,,,25.9,26.1,8,True,,,,,204225373
trace,1016126,ptcl.khi,60223,nayatel.isb,154.192.15.243,local,,,,,33.7,32.1,16,False,,,,,204225375
trace,1016126,ptcl.khi,62224,transworld.lhe,110.93.235.222,trombone_rtt,rtt_jump=1005 max_rtt=1030,(foreign hop not visible -- RTT evidence,?,TWA-AS-AP - Transworld A,1030.0,1030.0,10,True,,,,,204225376
trace,1016126,ptcl.khi,64078,tes.lhe,149.40.243.172,local,,,,,28.8,29.1,13,False,,,,,204225377
trace,1016126,ptcl.khi,64722,tes.khi,119.73.97.135,local,,,,,10.4,10.5,13,False,,,,,204225379
trace,1016126,ptcl.khi,65892,nayatel.lhe,154.192.116.198,local,,,,,31.2,29.3,17,False,,,,,204225380
trace,1016126,ptcl.khi,1014872,fasttel.isb,103.189.68.92,local,,,,,32.3,32.4,14,False,,,,,204225384
trace,1016126,ptcl.khi,1015210,ptcl.khi,182.185.145.65,local,,,,,25.0,25.0,13,False,,,,,204225386
trace,1016126,ptcl.khi,1015679,nova.lhe,103.184.1.10,trombone_hop,foreign_hop,"COGENT-174 - Cogent Communications, LLC,",US,TWA-AS-AP - Transworld A,124.6,113.8,13,False,,,,,204225387
trace,1016126,ptcl.khi,1016036,cybernet.hrp,72.255.54.129,trombone_hop,foreign_hop,"NTT-DATA-2914 - NTT America, Inc., US",SG,PKTELECOM-AS-PK - Pakist,198.5,185.1,18,False,,,,,204225390
trace,1016126,ptcl.khi,1016143,cybernet.khi,103.244.174.231,local,,,,,10.1,10.0,13,False,,,,,204233049
trace,1016143,cybernet.khi,7613,zcom.lhe,157.20.147.16,trombone_rtt,rtt_jump=94 max_rtt=98,(foreign hop not visible -- RTT evidence,?,,97.6,97.9,9,True,,,,,204233051
trace,1016143,cybernet.khi,60223,nayatel.isb,154.192.15.243,local,,,,,4.2,4.2,9,False,,,,,204233053
trace,1016143,cybernet.khi,64078,tes.lhe,149.40.243.172,local,,,,,4.1,4.1,9,False,,,,,204250731
trace,1016143,cybernet.khi,64722,tes.khi,119.73.97.135,local,,,,,4.2,4.3,9,False,,,,,204250738
trace,1016143,cybernet.khi,65892,nayatel.lhe,154.192.116.198,local,,,,,25.3,25.6,17,False,,,,,204250741
trace,1016143,cybernet.khi,1014872,fasttel.isb,103.189.68.92,local,,,,,5.1,4.2,9,False,,,,,204250742
trace,1016143,cybernet.khi,1015210,ptcl.khi,182.185.145.65,trombone_hop,foreign_hop,"HURRICANE - Hurricane Electric LLC, US",US,,3787.7,93.2,11,False,,,,,204250746
trace,1016143,cybernet.khi,1015679,nova.lhe,103.184.1.10,local,,,,,21.2,21.2,14,False,,,,,204250749
trace,1016143,cybernet.khi,1016036,cybernet.hrp,72.255.54.129,local,,,,,4.2,4.4,9,False,,,,,204250755
trace,1016143,cybernet.khi,1016126,ptcl.khi,39.39.112.114,local,,,,,5.3,5.3,13,False,,,,,204250761
ping,7613,zcom.lhe,60223,nayatel.isb,154.192.15.243,no_reply,,,,,,,,,,,3,0,204250764
ping,7613,zcom.lhe,62224,transworld.lhe,110.93.235.222,no_reply,,,,,,,,,,,3,0,204250771
ping,7613,zcom.lhe,64078,tes.lhe,149.40.243.172,no_reply,,,,,,,,,,,3,0,204250777
ping,7613,zcom.lhe,64722,tes.khi,119.73.97.135,no_reply,,,,,,,,,,,3,0,204250779
ping,7613,zcom.lhe,65892,nayatel.lhe,154.192.116.198,no_reply,,,,,,,,,,,3,0,204250785
ping,7613,zcom.lhe,1014872,fasttel.isb,103.189.68.92,no_reply,,,,,,,,,,,3,0,204250793
ping,7613,zcom.lhe,1015210,ptcl.khi,182.185.145.65,ok,,,,,,,,,2.5,2.8,3,3,204250797
ping,7613,zcom.lhe,1015679,nova.lhe,103.184.1.10,no_reply,,,,,,,,,,,3,0,204250801
ping,7613,zcom.lhe,1016036,cybernet.hrp,72.255.54.129,no_reply,,,,,,,,,,,3,0,204250803
ping,7613,zcom.lhe,1016126,ptcl.khi,39.39.112.114,ok,,,,,,,,,24.1,84.8,3,3,204250804
ping,7613,zcom.lhe,1016143,cybernet.khi,103.244.174.231,no_reply,,,,,,,,,,,3,0,204250807
ping,60223,nayatel.isb,7613,zcom.lhe,157.20.147.16,ok,,,,,,,,,38.7,38.8,3,3,204250809
