domain,ip,asn,country,as_name,hosting_location
paf-iast.edu.pk,172.67.159.161,13335,US,"CLOUDFLARENET - Cloudflare, Inc., US",CDN
silaikarhai.pk,23.227.38.65,13335,CA,"CLOUDFLARENET - Cloudflare, Inc., US",CDN
chinyere.pk,23.227.38.65,13335,CA,"CLOUDFLARENET - Cloudflare, Inc., US",CDN
gepco.com.pk,163.61.25.23,153561,PK,"PITC1-AS-AP - PITC, PK",Local
sonic.pk,119.160.105.77,58470,PK,"Mobilink-Peering-AS-PK - IX Peering for Mobilink and Link Direct International., PK",Local
rollover.com.pk,23.227.38.65,13335,CA,"CLOUDFLARENET - Cloudflare, Inc., US",CDN
bisep.edu.pk,172.67.148.93,13335,US,"CLOUDFLARENET - Cloudflare, Inc., US",CDN
mbasics.pk,23.227.38.65,13335,CA,"CLOUDFLARENET - Cloudflare, Inc., US",CDN
vanya.pk,23.227.38.65,13335,CA,"CLOUDFLARENET - Cloudflare, Inc., US",CDN
fgei.gov.pk,210.56.11.242,7590,PK,"COMSATS - Commission on Science and Technology for, PK",Local
blinkbroadband.pk,103.121.121.29,131275,PK,"LBPL-AS-AP - Logon Broadband Pvt. Limited, PK",Local
nawaiwaqt.com.pk,65.109.88.147,24940,DE,"HETZNER-AS - Hetzner Online GmbH, DE",Abroad
iub.edu.pk,121.52.159.138,45773,PK,"HECPERN-AS-PK - PERN AS Content Servie Provider, Islamabad, Pakistan, PK",Local
telenor.com.pk,104.18.12.112,13335,US,"CLOUDFLARENET - Cloudflare, Inc., US",CDN
abwholesale.pk,23.227.38.65,13335,CA,"CLOUDFLARENET - Cloudflare, Inc., US",CDN
ahpc.org.pk,203.124.33.162,7590,PK,"COMSATS - Commission on Science and Technology for, PK",Local
alahmar.com.pk,147.79.79.195,47583,US,"AS-HOSTINGER - Hostinger International Limited, CY",Abroad
alladin.pk,23.227.38.65,13335,CA,"CLOUDFLARENET - Cloudflare, Inc., US",CDN
chilltime.pk,10.0.1.4,NA,,NA,Abroad
cocobee.com.pk,172.67.217.138,13335,US,"CLOUDFLARENET - Cloudflare, Inc., US",CDN
cu.edu.pk,104.21.66.103,13335,US,"CLOUDFLARENET - Cloudflare, Inc., US",CDN
dakkhana.com.pk,58.65.161.24,23674,PK,"NAYATEL-PK - Nayatel (Pvt) Ltd, PK",Local
epads.gov.pk,59.103.225.210,17557,PK,"PKTELECOM-AS-PK - Pakistan Telecommunication Company Limited, PK",Local
farashaonline.pk,23.227.38.65,13335,CA,"CLOUDFLARENET - Cloudflare, Inc., US",CDN
femalechoice.pk,23.227.38.65,13335,CA,"CLOUDFLARENET - Cloudflare, Inc., US",CDN
fscobill.net.pk,172.67.139.94,13335,US,"CLOUDFLARENET - Cloudflare, Inc., US",CDN
gepcoerp.com.pk,119.156.26.74,17557,PK,"PKTELECOM-AS-PK - Pakistan Telecommunication Company Limited, PK",Local
getlinks.net.pk,68.178.227.196,26496,US,"AS-26496-GO-DADDY-COM-LLC - GoDaddy.com, LLC, US",Abroad
hcloud.pk,104.21.38.207,13335,US,"CLOUDFLARENET - Cloudflare, Inc., US",CDN
hrd1902.com.pk,111.68.99.219,45773,PK,"HECPERN-AS-PK - PERN AS Content Servie Provider, Islamabad, Pakistan, PK",Local
idealancy.pk,172.67.138.214,13335,US,"CLOUDFLARENET - Cloudflare, Inc., US",CDN
iulms.edu.pk,103.138.162.35,139024,PK,"IQRAUNIVERSITY-AS-AP - Iqra University, PK",Local
layers.pk,172.67.163.157,13335,US,"CLOUDFLARENET - Cloudflare, Inc., US",CDN
lmis.gov.pk,202.83.164.75,23888,PK,"NTC-AS-AP - National Telecommunication Corporation HQ,, PK",Local
mgacs.com.pk,115.42.64.26,132165,PK,"CONNECT-AS-AP - Connect Communications, PK",Local
moltyfoam.com.pk,23.227.38.65,13335,CA,"CLOUDFLARENET - Cloudflare, Inc., US",CDN
ourelitehealth.com.pk,172.67.207.69,13335,US,"CLOUDFLARENET - Cloudflare, Inc., US",CDN
ramsha.pk,23.227.38.65,13335,CA,"CLOUDFLARENET - Cloudflare, Inc., US",CDN
ronin.pk,23.227.38.65,13335,CA,"CLOUDFLARENET - Cloudflare, Inc., US",CDN
telenrquiztoday.pk,104.21.49.49,13335,US,"CLOUDFLARENET - Cloudflare, Inc., US",CDN
telequiztoday.pk,104.21.47.206,13335,US,"CLOUDFLARENET - Cloudflare, Inc., US",CDN
utopiaindustries.pk,216.198.79.1,16509,US,"AMAZON-02 - Amazon.com, Inc., US",Abroad
waada.pk,34.87.191.154,396982,US,"GOOGLE-CLOUD-PLATFORM - Google LLC, US",Abroad
wasap-plus.pk,172.67.172.172,13335,US,"CLOUDFLARENET - Cloudflare, Inc., US",CDN
x666game.pk,184.94.213.81,22612,US,"NAMECHEAP-NET - Namecheap, Inc., US",Abroad
youngmasti.pk,192.168.20.57,NA,,NA,Abroad
zapatla.pk,172.67.133.141,13335,US,"CLOUDFLARENET - Cloudflare, Inc., US",CDN
zarif.pk,23.227.38.65,13335,CA,"CLOUDFLARENET - Cloudflare, Inc., US",CDN
zouq.pk,108.181.242.138,40676,CA,"AS40676 - Psychz Networks, US",Abroad
cloudy.pk,172.67.153.164,13335,US,"CLOUDFLARENET - Cloudflare, Inc., US",CDN
super.net.pk,203.130.2.162,24435,PK,"SUPERNET-PAKISTAN-AS-AP - Supernet Limited Transit Autonomous System Number, PK",Local
numl.edu.pk,111.68.97.117,45773,PK,"HECPERN-AS-PK - PERN AS Content Servie Provider, Islamabad, Pakistan, PK",Local
sco.gov.pk,118.107.140.9,18053,PK,"SNET-AS-AP - Special Communication Organization, PK",Local
brain.net.pk,5.161.30.49,213230,DE,"HETZNER-CLOUD2-AS - Hetzner Online GmbH, DE",Abroad
jazztv.pk,119.160.12.30,45669,PK,"Mobilink-AS-PK - PMCL /LDI IP TRANSIT, PK",Local
uaf.edu.pk,203.124.33.162,7590,PK,"COMSATS - Commission on Science and Technology for, PK",Local
supermeal.pk,20.0.146.251,8075,US,"MICROSOFT-CORP-MSN-AS-BLOCK - Microsoft Corporation, US",Abroad
exitbase.pk,145.79.209.226,47583,DE,"AS-HOSTINGER - Hostinger International Limited, CY",Abroad
lhc.gov.pk,103.226.216.153,59323,PK,"PITB-PUNJAB-PK - Punjab Information Technology Board, PK",Local
au.edu.pk,172.67.147.213,13335,US,"CLOUDFLARENET - Cloudflare, Inc., US",CDN
ke.com.pk,64.113.50.169,53292,US,"MWAY - ManagedWay, US",Abroad
playtube.pk,172.67.148.6,13335,US,"CLOUDFLARENET - Cloudflare, Inc., US",CDN
balochistan.gov.pk,104.21.7.125,13335,US,"CLOUDFLARENET - Cloudflare, Inc., US",CDN
pmd.gov.pk,104.21.66.61,13335,US,"CLOUDFLARENET - Cloudflare, Inc., US",CDN
jazzesl.com.pk,115.186.182.194,23674,PK,"NAYATEL-PK - Nayatel (Pvt) Ltd, PK",Local
wancom.net.pk,104.21.6.94,13335,US,"CLOUDFLARENET - Cloudflare, Inc., US",CDN
wego.pk,104.18.245.115,13335,US,"CLOUDFLARENET - Cloudflare, Inc., US",CDN
gcu.edu.pk,192.124.249.13,30148,US,"SUCURI-SEC - Sucuri, US",Abroad
techjuice.pk,173.208.55.142,205544,GB,"LEASEWEB-UK-LON-11 - Leaseweb UK Limited, GB",Abroad
movi.pk,104.21.49.206,13335,US,"CLOUDFLARENET - Cloudflare, Inc., US",CDN
gointernet.net.pk,103.121.121.29,131275,PK,"LBPL-AS-AP - Logon Broadband Pvt. Limited, PK",Local
faisalfabrics.pk,172.67.74.70,13335,US,"CLOUDFLARENET - Cloudflare, Inc., US",CDN
royaltag.com.pk,23.227.38.32,13335,CA,"CLOUDFLARENET - Cloudflare, Inc., US",CDN
paknavy.gov.pk,104.18.29.73,13335,US,"CLOUDFLARENET - Cloudflare, Inc., US",CDN
hu.edu.pk,191.96.56.239,47583,AE,"AS-HOSTINGER - Hostinger International Limited, CY",Abroad
webhoster.pk,172.67.187.83,13335,US,"CLOUDFLARENET - Cloudflare, Inc., US",CDN
prime.net.pk,185.146.167.193,48254,GB,"TWENTYI - 20i Limited, GB",Abroad
pakrail.gov.pk,43.250.84.104,23888,PK,"NTC-AS-AP - National Telecommunication Corporation HQ,, PK",Local
networld.pk,14.192.150.180,45814,PK,"FARIYA-PK - Fariya Networks Pvt. Ltd., PK",Local
result.pk,172.67.213.113,13335,US,"CLOUDFLARENET - Cloudflare, Inc., US",CDN
na.gov.pk,175.107.60.12,23888,PK,"NTC-AS-AP - National Telecommunication Corporation HQ,, PK",Local
dailykhabrain.com.pk,191.101.228.53,47583,AE,"AS-HOSTINGER - Hostinger International Limited, CY",Abroad
pec.org.pk,104.26.3.205,13335,US,"CLOUDFLARENET - Cloudflare, Inc., US",CDN
kpese.gov.pk,175.107.63.111,23888,PK,"NTC-AS-AP - National Telecommunication Corporation HQ,, PK",Local
easyhost.pk,104.21.57.133,13335,US,"CLOUDFLARENET - Cloudflare, Inc., US",CDN
pbs.gov.pk,113.197.54.86,23888,PK,"NTC-AS-AP - National Telecommunication Corporation HQ,, PK",Local
sparkbroadband.pk,103.121.121.29,131275,PK,"LBPL-AS-AP - Logon Broadband Pvt. Limited, PK",Local
eduvision.edu.pk,104.21.14.101,13335,US,"CLOUDFLARENET - Cloudflare, Inc., US",CDN
skyhost.pk,38.242.206.212,51167,US,"CONTABO - Contabo GmbH, DE",Abroad
finance.gov.pk,172.67.173.143,13335,US,"CLOUDFLARENET - Cloudflare, Inc., US",CDN
myvitaminstore.pk,23.227.38.65,13335,CA,"CLOUDFLARENET - Cloudflare, Inc., US",CDN
mcb.com.pk,192.124.249.159,30148,US,"SUCURI-SEC - Sucuri, US",Abroad
spin.org.pk,192.250.235.30,204800,GB,"WHG-SGP - WHG Hosting Services Ltd, GB",Abroad
bausch.pk,45.60.73.143,19551,US,"INCAPSULA - Incapsula Inc, US",CDN
spsc.gov.pk,103.12.58.26,58893,PK,"GESNET-AS-AP - Gemnet Enterprise Solutions Pvt Ltd, PK",Local
myservice.pk,104.21.1.50,13335,US,"CLOUDFLARENET - Cloudflare, Inc., US",CDN
iiu.edu.pk,172.67.73.180,13335,US,"CLOUDFLARENET - Cloudflare, Inc., US",CDN
freestreams-live1d.pk,111.90.145.185,45839,MY,"SHINJIRU-MY-AS-AP - Shinjiru Technology Sdn Bhd, MY",Abroad
nepra.org.pk,104.26.9.11,13335,US,"CLOUDFLARENET - Cloudflare, Inc., US",CDN
zcomnetworks.com.pk,157.20.147.244,152605,PK,"ZCOMNETWORKS-AS-AP - Z COM NETWORKS, PK",Local
blingspot.pk,23.227.38.32,13335,CA,"CLOUDFLARENET - Cloudflare, Inc., US",CDN
generations.com.pk,172.67.169.225,13335,US,"CLOUDFLARENET - Cloudflare, Inc., US",CDN
oup.com.pk,135.181.230.123,24940,DE,"HETZNER-AS - Hetzner Online GmbH, DE",Abroad
punjabhec.gov.pk,104.26.14.175,13335,US,"CLOUDFLARENET - Cloudflare, Inc., US",CDN
theavocado.pk,104.21.32.239,13335,US,"CLOUDFLARENET - Cloudflare, Inc., US",CDN
faizasaqlain.pk,23.227.38.65,13335,CA,"CLOUDFLARENET - Cloudflare, Inc., US",CDN
reviewit.pk,104.21.80.118,13335,US,"CLOUDFLARENET - Cloudflare, Inc., US",CDN
meerzah.pk,23.227.38.65,13335,CA,"CLOUDFLARENET - Cloudflare, Inc., US",CDN
pehnawastore.pk,23.227.38.65,13335,CA,"CLOUDFLARENET - Cloudflare, Inc., US",CDN
warsafabric.pk,23.227.38.65,13335,CA,"CLOUDFLARENET - Cloudflare, Inc., US",CDN
idmpakistan.pk,104.21.45.249,13335,US,"CLOUDFLARENET - Cloudflare, Inc., US",CDN
joinpaknavy.gov.pk,104.18.15.47,13335,US,"CLOUDFLARENET - Cloudflare, Inc., US",CDN
dvdplanetstore.pk,104.26.1.175,13335,US,"CLOUDFLARENET - Cloudflare, Inc., US",CDN
apkshoot.com.pk,104.21.66.103,13335,US,"CLOUDFLARENET - Cloudflare, Inc., US",CDN
bisesargodha.edu.pk,223.123.65.114,59257,PK,"CMPAKLIMITED-AS-AP - CMPak Limited, PK",Local
bisedgkhan.edu.pk,45.43.11.120,397423,US,"TIER-NET - Tier.Net Technologies LLC, US",Abroad
fccollege.edu.pk,104.26.1.203,13335,US,"CLOUDFLARENET - Cloudflare, Inc., US",CDN
calza.com.pk,23.227.38.65,13335,CA,"CLOUDFLARENET - Cloudflare, Inc., US",CDN
royalwrist.pk,104.26.5.21,13335,US,"CLOUDFLARENET - Cloudflare, Inc., US",CDN
apkshoots.com.pk,172.67.147.120,13335,US,"CLOUDFLARENET - Cloudflare, Inc., US",CDN
katran.pk,23.227.38.65,13335,CA,"CLOUDFLARENET - Cloudflare, Inc., US",CDN
mgmotors.com.pk,168.119.254.53,24940,DE,"HETZNER-AS - Hetzner Online GmbH, DE",Abroad
bisebwp.pk,221.120.217.252,17557,PK,"PKTELECOM-AS-PK - Pakistan Telecommunication Company Limited, PK",Local
biseatd.edu.pk,69.57.161.65,22612,US,"NAMECHEAP-NET - Namecheap, Inc., US",Abroad
brandedcutpieces.com.pk,23.227.38.65,13335,CA,"CLOUDFLARENET - Cloudflare, Inc., US",CDN
bakehouse.pk,23.227.38.65,13335,CA,"CLOUDFLARENET - Cloudflare, Inc., US",CDN
tejar.pk,172.67.214.254,13335,US,"CLOUDFLARENET - Cloudflare, Inc., US",CDN
dsu.edu.pk,35.236.144.210,396982,US,"GOOGLE-CLOUD-PLATFORM - Google LLC, US",Abroad
ajkpsc.gov.pk,210.56.12.210,7590,PK,"COMSATS - Commission on Science and Technology for, PK",Local
styka.pk,23.227.38.65,13335,CA,"CLOUDFLARENET - Cloudflare, Inc., US",CDN
urge.pk,23.227.38.65,13335,CA,"CLOUDFLARENET - Cloudflare, Inc., US",CDN
pkjob.pk,104.21.48.7,13335,US,"CLOUDFLARENET - Cloudflare, Inc., US",CDN
bisekt.edu.pk,104.21.94.112,13335,US,"CLOUDFLARENET - Cloudflare, Inc., US",CDN
recruitments.com.pk,172.67.71.54,13335,US,"CLOUDFLARENET - Cloudflare, Inc., US",CDN
citizenportal.gov.pk,175.107.60.152,23888,PK,"NTC-AS-AP - National Telecommunication Corporation HQ,, PK",Local
kfueit.edu.pk,175.107.18.165,23888,PK,"NTC-AS-AP - National Telecommunication Corporation HQ,, PK",Local
iesco.com.pk,210.56.28.14,7590,PK,"COMSATS - Commission on Science and Technology for, PK",Local
admin.gok.pk,172.67.75.144,13335,US,"CLOUDFLARENET - Cloudflare, Inc., US",CDN
bpsc.gob.pk,172.67.171.213,13335,US,"CLOUDFLARENET - Cloudflare, Inc., US",CDN
climateinternship.pk,172.67.201.106,13335,US,"CLOUDFLARENET - Cloudflare, Inc., US",CDN
ctsp.org.pk,144.76.107.101,24940,DE,"HETZNER-AS - Hetzner Online GmbH, DE",Abroad
dailywholesale.pk,23.227.38.65,13335,CA,"CLOUDFLARENET - Cloudflare, Inc., US",CDN
dex.com.pk,47.246.167.75,45102,US,"ALIBABA-CN-NET - Alibaba (US) Technology Co., Ltd., CN",Abroad
dls.gos.pk,104.21.90.190,13335,US,"CLOUDFLARENET - Cloudflare, Inc., US",CDN
epr.org.pk,104.21.5.113,13335,US,"CLOUDFLARENET - Cloudflare, Inc., US",CDN
evee.pk,128.199.187.129,14061,GB,"DIGITALOCEAN-ASN - DigitalOcean, LLC, US",Abroad
gbappsup.org.pk,31.43.191.219,210848,UA,"TK-NET - Telkom Internet LTD, SC",Abroad
gcuonline.pk,178.128.4.215,14061,US,"DIGITALOCEAN-ASN - DigitalOcean, LLC, US",Abroad
glaxydollars.com.pk,65.181.111.226,14670,GB,"WHG-USE1 - WHG Hosting Services Ltd, GB",Abroad
isp.edu.pk,104.26.10.138,13335,US,"CLOUDFLARENET - Cloudflare, Inc., US",CDN
joinpakarmyjobs.pk,2.57.91.59,47583,CY,"AS-HOSTINGER - Hostinger International Limited, CY",Abroad
kashaf.pk,23.227.38.65,13335,CA,"CLOUDFLARENET - Cloudflare, Inc., US",CDN
kohat.edu.pk,121.52.146.165,45773,PK,"HECPERN-AS-PK - PERN AS Content Servie Provider, Islamabad, Pakistan, PK",Local
libasghar.pk,108.181.242.156,40676,CA,"AS40676 - Psychz Networks, US",Abroad
metroev.pk,185.146.31.90,55293,US,"A2HOSTING - A2 Hosting, Inc., US",Abroad
miniso.pk,23.227.38.70,13335,CA,"CLOUDFLARENET - Cloudflare, Inc., US",CDN
mlc.gov.pk,104.26.1.127,13335,US,"CLOUDFLARENET - Cloudflare, Inc., US",CDN
nation.net.pk,115.42.65.245,132165,PK,"CONNECT-AS-AP - Connect Communications, PK",Local
okla.com.pk,208.109.200.81,398101,US,"GO-DADDY-COM-LLC - GoDaddy.com, LLC, US",Abroad
pakistanrangerssindh.gov.pk,118.107.139.239,18053,PK,"SNET-AS-AP - Special Communication Organization, PK",Local
pnmc.gov.pk,104.21.48.188,13335,US,"CLOUDFLARENET - Cloudflare, Inc., US",CDN
qalamkar.com.pk,23.227.38.65,13335,CA,"CLOUDFLARENET - Cloudflare, Inc., US",CDN
sapphirestudio.com.pk,23.227.38.65,13335,CA,"CLOUDFLARENET - Cloudflare, Inc., US",CDN
sindhzameen.gos.pk,202.83.173.42,23888,PK,"NTC-AS-AP - National Telecommunication Corporation HQ,, PK",Local
studentcare.pk,161.97.136.0,51167,DE,"CONTABO - Contabo GmbH, DE",Abroad
vatt.gob.pk,158.69.227.73,16276,CA,"OVH - OVH SAS, FR",Abroad
apkjackpot.com.pk,162.0.235.236,22612,US,"NAMECHEAP-NET - Namecheap, Inc., US",Abroad
biselrk.edu.pk,145.79.25.193,47583,DE,"AS-HOSTINGER - Hostinger International Limited, CY",Abroad
breakin.pk,23.227.38.65,13335,CA,"CLOUDFLARENET - Cloudflare, Inc., US",CDN
castleapp.com.pk,172.67.192.32,13335,US,"CLOUDFLARENET - Cloudflare, Inc., US",CDN
datacorporation.com.pk,172.67.148.62,13335,US,"CLOUDFLARENET - Cloudflare, Inc., US",CDN
lescoebillcheck.pk,172.67.159.26,13335,US,"CLOUDFLARENET - Cloudflare, Inc., US",CDN
mytelenoranswertoday.pk,172.67.156.226,13335,US,"CLOUDFLARENET - Cloudflare, Inc., US",CDN
senorita.pk,23.227.38.32,13335,CA,"CLOUDFLARENET - Cloudflare, Inc., US",CDN
uop.edu.pk,121.52.147.18,45773,PK,"HECPERN-AS-PK - PERN AS Content Servie Provider, Islamabad, Pakistan, PK",Local
supremecourt.gov.pk,2.19.193.145,20940,NL,"AKAMAI-ASN1 - Akamai International B.V., NL",CDN
ue.edu.pk,37.27.141.121,24940,DE,"HETZNER-AS - Hetzner Online GmbH, DE",Abroad
bzu.edu.pk,178.63.148.230,24940,DE,"HETZNER-AS - Hetzner Online GmbH, DE",Abroad
shopatshams.com.pk,23.227.38.65,13335,CA,"CLOUDFLARENET - Cloudflare, Inc., US",CDN
timespan.pk,91.204.209.10,52148,GB,"ENIXLTD - Enix Ltd, GB",Abroad
bnu.edu.pk,116.58.8.45,17563,PK,"NEXLINX-AS-AP - Autonomous System Number for Nexlinx, PK",Local
sindh.gov.pk,175.107.33.163,23888,PK,"NTC-AS-AP - National Telecommunication Corporation HQ,, PK",Local
petsmall.pk,191.101.228.49,47583,AE,"AS-HOSTINGER - Hostinger International Limited, CY",Abroad
pakistan.gov.pk,203.101.184.84,9541,PK,"CYBERNET-AP - Cyber Internet Services (Pvt) Ltd., PK",Local
uvas.edu.pk,77.37.48.147,47583,DE,"AS-HOSTINGER - Hostinger International Limited, CY",Abroad
bop.com.pk,45.223.128.53,19551,US,"INCAPSULA - Incapsula Inc, US",CDN
ges.net.pk,103.18.243.3,58893,PK,"GESNET-AS-AP - Gemnet Enterprise Solutions Pvt Ltd, PK",Local
duet.edu.pk,64.31.25.146,46475,US,"LIMESTONENETWORKS - Limestone Networks, Inc., US",Abroad
ecp.gov.pk,59.103.225.220,17557,PK,"PKTELECOM-AS-PK - Pakistan Telecommunication Company Limited, PK",Local
rawayat.com.pk,23.227.38.65,13335,CA,"CLOUDFLARENET - Cloudflare, Inc., US",CDN
phoneworld.com.pk,104.26.6.106,13335,US,"CLOUDFLARENET - Cloudflare, Inc., US",CDN
uok.edu.pk,43.250.84.121,23888,PK,"NTC-AS-AP - National Telecommunication Corporation HQ,, PK",Local
myshop.pk,104.21.72.83,13335,US,"CLOUDFLARENET - Cloudflare, Inc., US",CDN
minutemirror.com.pk,162.159.136.54,13335,US,"CLOUDFLARENET - Cloudflare, Inc., US",CDN
nwnetworks.net.pk,110.93.213.3,38193,PK,"TWA-AS-AP - Transworld Associates (Pvt.) Ltd., PK",Local
giki.edu.pk,182.176.222.252,17557,PK,"PKTELECOM-AS-PK - Pakistan Telecommunication Company Limited, PK",Local
pknic.net.pk,104.20.38.53,13335,US,"CLOUDFLARENET - Cloudflare, Inc., US",CDN
pap.gov.pk,103.226.217.162,59323,PK,"PITB-PUNJAB-PK - Punjab Information Technology Board, PK",Local
techmanistan.pk,23.227.38.65,13335,CA,"CLOUDFLARENET - Cloudflare, Inc., US",CDN
dra.gov.pk,210.56.8.62,7590,PK,"COMSATS - Commission on Science and Technology for, PK",Local
navttc.gov.pk,104.26.0.186,13335,US,"CLOUDFLARENET - Cloudflare, Inc., US",CDN
c99game.pk,192.64.117.237,22612,US,"NAMECHEAP-NET - Namecheap, Inc., US",Abroad
tenderservice.pk,104.21.89.82,13335,US,"CLOUDFLARENET - Cloudflare, Inc., US",CDN
nlthub.pk,172.67.151.81,13335,US,"CLOUDFLARENET - Cloudflare, Inc., US",CDN
fims.org.pk,172.67.160.226,13335,US,"CLOUDFLARENET - Cloudflare, Inc., US",CDN
alqadir.edu.pk,176.9.63.151,24940,DE,"HETZNER-AS - Hetzner Online GmbH, DE",Abroad
arysahulatbazar.pk,172.67.154.139,13335,US,"CLOUDFLARENET - Cloudflare, Inc., US",CDN
microtech.net.pk,88.222.222.71,47583,LT,"AS-HOSTINGER - Hostinger International Limited, CY",Abroad
bluehosting.pk,95.217.194.112,24940,DE,"HETZNER-AS - Hetzner Online GmbH, DE",Abroad
uettaxila.edu.pk,172.67.198.179,13335,US,"CLOUDFLARENET - Cloudflare, Inc., US",CDN
youtube.com.pk,142.251.221.238,15169,US,"GOOGLE - Google LLC, US",Abroad
wapda.gov.pk,163.61.25.38,153561,PK,"PITC1-AS-AP - PITC, PK",Local
thenews.pk,104.18.21.180,13335,US,"CLOUDFLARENET - Cloudflare, Inc., US",CDN
szabist.edu.pk,111.68.108.212,45773,PK,"HECPERN-AS-PK - PERN AS Content Servie Provider, Islamabad, Pakistan, PK",Local
geo.net.pk,203.128.255.4,17557,PK,"PKTELECOM-AS-PK - Pakistan Telecommunication Company Limited, PK",Local
zu.edu.pk,104.26.6.128,13335,US,"CLOUDFLARENET - Cloudflare, Inc., US",CDN
connectel.com.pk,15.204.150.217,16276,US,"OVH - OVH SAS, FR",Abroad
ots.org.pk,104.21.72.142,13335,US,"CLOUDFLARENET - Cloudflare, Inc., US",CDN
youtube.pk,142.250.143.190,15169,US,"GOOGLE - Google LLC, US",Abroad
philipsappliances.pk,84.32.84.113,47583,LT,"AS-HOSTINGER - Hostinger International Limited, CY",Abroad
enic.pk,103.138.189.184,204800,GB,"WHG-SGP - WHG Hosting Services Ltd, GB",Abroad
ntu.edu.pk,104.21.8.160,13335,US,"CLOUDFLARENET - Cloudflare, Inc., US",CDN
uob.edu.pk,121.52.157.105,45773,PK,"HECPERN-AS-PK - PERN AS Content Servie Provider, Islamabad, Pakistan, PK",Local
pide.org.pk,172.67.71.229,13335,US,"CLOUDFLARENET - Cloudflare, Inc., US",CDN
debet.pk,104.21.67.77,13335,US,"CLOUDFLARENET - Cloudflare, Inc., US",CDN
pdma.gob.pk,72.18.130.164,30475,US,"WEHOSTWEBSITES-COM - Handy Networks, LLC, US",Abroad
mbps.pk,88.222.222.243,47583,LT,"AS-HOSTINGER - Hostinger International Limited, CY",Abroad
simownercheck.pk,104.21.60.158,13335,US,"CLOUDFLARENET - Cloudflare, Inc., US",CDN
sngplbill.org.pk,216.198.79.1,16509,US,"AMAZON-02 - Amazon.com, Inc., US",Abroad
ebillmepco.pk,172.67.216.68,13335,US,"CLOUDFLARENET - Cloudflare, Inc., US",CDN
simownerss.pk,104.21.55.235,13335,US,"CLOUDFLARENET - Cloudflare, Inc., US",CDN
galaxy.net.pk,103.164.49.161,139879,PK,"GALAXY-AS-AP - Galaxy Broadband, PK",Local
shopforever.pk,191.101.228.62,47583,AE,"AS-HOSTINGER - Hostinger International Limited, CY",Abroad
home360.com.pk,172.67.221.192,13335,US,"CLOUDFLARENET - Cloudflare, Inc., US",CDN
su.edu.pk,104.21.84.194,13335,US,"CLOUDFLARENET - Cloudflare, Inc., US",CDN
twinkl.com.pk,45.60.46.117,19551,US,"INCAPSULA - Incapsula Inc, US",CDN
hblibank.com.pk,192.230.81.67,19551,US,"INCAPSULA - Incapsula Inc, US",CDN
tune.pk,104.21.2.153,13335,US,"CLOUDFLARENET - Cloudflare, Inc., US",CDN
dawaai.pk,35.233.79.206,396982,US,"GOOGLE-CLOUD-PLATFORM - Google LLC, US",Abroad
jpma.org.pk,23.88.38.159,24940,DE,"HETZNER-AS - Hetzner Online GmbH, DE",Abroad
iobm.edu.pk,156.67.76.179,47583,CY,"AS-HOSTINGER - Hostinger International Limited, CY",Abroad
pakpost.gov.pk,203.101.184.81,9541,PK,"CYBERNET-AP - Cyber Internet Services (Pvt) Ltd., PK",Local
prowebhosting.pk,135.181.209.248,24940,DE,"HETZNER-AS - Hetzner Online GmbH, DE",Abroad
ishopping.pk,104.20.47.188,13335,US,"CLOUDFLARENET - Cloudflare, Inc., US",CDN
peshawarhighcourt.gov.pk,88.198.97.103,24940,DE,"HETZNER-AS - Hetzner Online GmbH, DE",Abroad
jobs.com.pk,104.26.14.247,13335,US,"CLOUDFLARENET - Cloudflare, Inc., US",CDN
cda.gov.pk,125.209.107.50,9260,PK,"MULTINET-AS-AP - Multinet Pakistan Pvt. Ltd., PK",Local
ayanshop.pk,84.32.84.105,47583,LT,"AS-HOSTINGER - Hostinger International Limited, CY",Abroad
alfatah.com.pk,46.202.136.217,47583,UA,"AS-HOSTINGER - Hostinger International Limited, CY",Abroad
wellshop.pk,184.94.215.216,22612,US,"NAMECHEAP-NET - Namecheap, Inc., US",Abroad
humnews.pk,104.26.8.222,13335,US,"CLOUDFLARENET - Cloudflare, Inc., US",CDN
agripunjab.gov.pk,103.226.216.186,59323,PK,"PITB-PUNJAB-PK - Punjab Information Technology Board, PK",Local
stmu.edu.pk,104.21.85.136,13335,US,"CLOUDFLARENET - Cloudflare, Inc., US",CDN
britishcouncil.pk,42.99.140.147,4637,JP,"ASN-TELSTRA-GLOBAL - Telstra Global, HK",Abroad
telemart.pk,104.21.65.247,13335,US,"CLOUDFLARENET - Cloudflare, Inc., US",CDN
planetjunior.pk,23.227.38.32,13335,CA,"CLOUDFLARENET - Cloudflare, Inc., US",CDN
senate.gov.pk,175.107.60.13,23888,PK,"NTC-AS-AP - National Telecommunication Corporation HQ,, PK",Local
eatoye.pk,104.21.8.63,13335,US,"CLOUDFLARENET - Cloudflare, Inc., US",CDN
dogar.com.pk,172.67.155.22,13335,US,"CLOUDFLARENET - Cloudflare, Inc., US",CDN
shoppingbag.pk,172.67.150.210,13335,US,"CLOUDFLARENET - Cloudflare, Inc., US",CDN
paf.gov.pk,175.107.60.225,23888,PK,"NTC-AS-AP - National Telecommunication Corporation HQ,, PK",Local
elb.com.pk,157.20.147.242,152605,PK,"ZCOMNETWORKS-AS-AP - Z COM NETWORKS, PK",Local
amaleaked.pk,186.2.165.11,59692,AE,"IQWEB - IQWeb FZ-LLC, AE",Abroad
