Domain,IP,ASN,CISA Sector
swkpk.gov.pk,175.107.63.111,23888,Government Services & Facilities
tevta.gop.pk,202.142.172.236,9260,Government Services & Facilities
tftheft.pk,163.61.25.3,153561,Government Services & Facilities
tplpower.pk,182.180.170.186,17557,Energy
trax.pk,119.160.105.78,58470,Commercial Facilities
wasalhr.pk,116.58.43.34,17563,Commercial Facilities
worldlinkisp.pk,110.39.10.226,38264,Communications
rihs.edu.pk,210.2.169.242,23966,Education
kppra.gov.pk,175.107.63.187,23888,Government Services & Facilities
moitt.gov.pk,203.101.184.86,9541,Government Services & Facilities
pakistancode.gov.pk,175.107.60.206,23888,Government Services & Facilities
globalconnectsynergy.com.pk,103.125.240.7,138453,Communications
braintel.net.pk,203.128.25.10,17911,Communications
pac.org.pk,175.107.33.66,23888,Government Services & Facilities
fgeha.gov.pk,203.101.184.78,9541,Government Services & Facilities
mofept.gov.pk,203.101.184.89,9541,Government Services & Facilities
punjablaws.gov.pk,103.226.217.162,59323,Government Services & Facilities
dgcs.gos.pk,103.111.161.11,59323,Government Services & Facilities
