# Candidate website pool -- from data/Local Internet Efficiency.pdf + all Tranco .pk sites.
# Columns: website,hosting,isp_cdn,tranco_rank   (hosting = Pakistani|Abroad|CDN)
# '#' lines are category headers/comments. Pick a subset into targets.csv for measurement.
website,hosting,isp_cdn,tranco_rank
cpsp.edu.pk,Pakistani,HEC,70696
uol.edu.pk,CDN,Cloudflare,70779
uhs.edu.pk,CDN,Cloudflare,75874
ucp.edu.pk,CDN,Cloudflare,78237
usindh.edu.pk,Abroad,Hetzner Online GmbH (DE),79024
banuri.edu.pk,CDN,Cloudflare,81258
cust.edu.pk,CDN,Cloudflare,86070
bisegrw.edu.pk,CDN,Cloudflare,86254
bisemultan.edu.pk,Pakistani,Mobilink GSM,87821
uog.edu.pk,Abroad,Hetzner Online GmbH (DE),88399
mul.edu.pk,Abroad,Liquid Web  L.L.C (US),88978
pefsis.edu.pk,Pakistani,PTCL Triple Play Project,95138
uoel.edu.pk,CDN,AWS,95759
uaar.edu.pk,CDN,Cloudflare,96724
bbise.edu.pk,Pakistani,Wateen Telecom Limited,102173
riphah.edu.pk,CDN,Cloudflare,114151
qau.edu.pk,Pakistani,HEC,120026
muet.edu.pk,CDN,Cloudflare,129126
neduet.edu.pk,unresolved,,134996
umt.edu.pk,CDN,Cloudflare,135746
bahria.edu.pk,Pakistani,HEC,136893
gudgk.edu.pk,CDN,Cloudflare,140103
iba.edu.pk,CDN,Sucuri,148651
uet.edu.pk,CDN,Cloudflare,152048
pieas.edu.pk,Pakistani,HEC,159734
iqra.edu.pk,Pakistani,Iqra University,161571
duhs.edu.pk,CDN,Microsoft/Azure,161933
uaf.edu.pk,Pakistani,COMSATS,165073
abasynisb.edu.pk,CDN,Cloudflare,171077
gcuf.edu.pk,CDN,Microsoft/Azure,173561
bisesahiwal.edu.pk,CDN,Cloudflare,174730
gcu.edu.pk,CDN,Sucuri,177547
hu.edu.pk,CDN,Cloudflare,189116
uoh.edu.pk,Abroad,Hetzner Online GmbH (DE),192344
bisefsd.edu.pk,CDN,Cloudflare,194735
etea.edu.pk,Pakistani,Orient Express LDI Limited,201321
paf-iast.edu.pk,CDN,Cloudflare,202760
gift.edu.pk,CDN,AWS,203870
bisesargodha.edu.pk,Pakistani,CMPak Limited,209947
bisep.edu.pk,CDN,Cloudflare,213969
cu.edu.pk,CDN,Cloudflare,214314
iulms.edu.pk,Pakistani,Iqra University,215354
kfueit.edu.pk,Pakistani,NTC LHR F-51/1 Dynamic BRAS,226455
biselrk.edu.pk,Abroad,HOSTINGER MY (MY),227733
numl.edu.pk,Pakistani,HEC,230948
pectaa.edu.pk,Abroad,WHG Hosting Services Ltd (US),240660
iiu.edu.pk,CDN,Cloudflare,278505
bnu.edu.pk,Pakistani,NEXLINX,283995
iub.edu.pk,Pakistani,HEC,294518
fccollege.edu.pk,CDN,Cloudflare,319641
bzu.edu.pk,Abroad,Hetzner Online GmbH (DE),320642
ue.edu.pk,Abroad,Hetzner Online GmbH (FI),321654
eduvision.edu.pk,CDN,Cloudflare,322437
au.edu.pk,CDN,Cloudflare,332549
hbs.edu.pk,Abroad,Enix Ltd (GB),338357
giki.edu.pk,Pakistani,Pakistan Telecommuication company limited,339768
uvas.edu.pk,Abroad,HOSTINGER (SG),340898
uop.edu.pk,Pakistani,HEC,354886
uettaxila.edu.pk,CDN,Cloudflare,374457
kmu.edu.pk,CDN,Cloudflare,383180
szabist.edu.pk,Pakistani,HEC,383813
zu.edu.pk,CDN,Cloudflare,384473
su.edu.pk,CDN,Cloudflare,385287
ntu.edu.pk,CDN,Cloudflare,386442
uok.edu.pk,Pakistani,National Telecommunication Corporation,395271
uob.edu.pk,Abroad,,396959
iobm.edu.pk,Abroad,HOSTINGER US (US),405086
stmu.edu.pk,CDN,Cloudflare,422711
alqadir.edu.pk,Abroad,Hetzner Online GmbH (DE),428046
ric.edu.pk,CDN,Cloudflare,432461
kinnaird.edu.pk,Abroad,netcup GmbH (DE),463415
iba-suk.edu.pk,Pakistani,HEC,464344
biek.edu.pk,Abroad,Contabo GmbH (FR),467438
lcwu.edu.pk,Abroad,UK Dedicated Servers Limited (GB),476651
fui.edu.pk,CDN,Cloudflare,478814
iiui.edu.pk,Abroad,Namecheap  Inc. (US),505304
