ts_utc,ts_pkt,kind,src_probe_id,src,dst_probe_id,dst,rtt_min,loss,hop_count,tromboned,status,exit_cc,transit,trace_rtt_ms
2026-08-30 02:03:04,2026-08-30 07:03:04,ping,65761,cybernet.65761,1016036,cybernet.1016036,,1.0,,,,,,
2026-08-30 03:03:02,2026-08-30 08:03:02,ping,65761,cybernet.65761,1016036,cybernet.1016036,,1.0,,,,,,
2026-08-30 04:03:05,2026-08-30 09:03:05,ping,65761,cybernet.65761,1016036,cybernet.1016036,,1.0,,,,,,
2026-08-30 05:02:56,2026-08-30 10:02:56,ping,65761,cybernet.65761,1016036,cybernet.1016036,,1.0,,,,,,
2026-08-30 06:02:53,2026-08-30 11:02:53,ping,65761,cybernet.65761,1016036,cybernet.1016036,,1.0,,,,,,
2026-08-30 07:02:55,2026-08-30 12:02:55,ping,65761,cybernet.65761,1016036,cybernet.1016036,,1.0,,,,,,
2026-08-30 08:01:23,2026-08-30 13:01:23,trace,65761,cybernet.65761,1016036,cybernet.1016036,,,6,False,local,,,3.6
2026-08-30 08:02:52,2026-08-30 13:02:52,ping,65761,cybernet.65761,1016036,cybernet.1016036,,1.0,,,,,,
2026-08-30 09:03:02,2026-08-30 14:03:02,ping,65761,cybernet.65761,1016036,cybernet.1016036,,1.0,,,,,,
2026-08-30 10:03:02,2026-08-30 15:03:02,ping,65761,cybernet.65761,1016036,cybernet.1016036,,1.0,,,,,,
2026-08-30 11:02:52,2026-08-30 16:02:52,ping,65761,cybernet.65761,1016036,cybernet.1016036,,1.0,,,,,,
2026-08-30 12:03:02,2026-08-30 17:03:02,ping,65761,cybernet.65761,1016036,cybernet.1016036,,1.0,,,,,,
2026-08-30 13:03:03,2026-08-30 18:03:03,ping,65761,cybernet.65761,1016036,cybernet.1016036,,1.0,,,,,,
2026-08-30 14:03:04,2026-08-30 19:03:04,ping,65761,cybernet.65761,1016036,cybernet.1016036,,1.0,,,,,,
2026-08-30 15:03:05,2026-08-30 20:03:05,ping,65761,cybernet.65761,1016036,cybernet.1016036,,1.0,,,,,,
2026-08-30 16:02:59,2026-08-30 21:02:59,ping,65761,cybernet.65761,1016036,cybernet.1016036,,1.0,,,,,,
2026-08-30 17:03:00,2026-08-30 22:03:00,ping,65761,cybernet.65761,1016036,cybernet.1016036,,1.0,,,,,,
2026-08-30 18:02:51,2026-08-30 23:02:51,ping,65761,cybernet.65761,1016036,cybernet.1016036,,1.0,,,,,,
2026-08-30 19:02:53,2026-08-31 00:02:53,ping,65761,cybernet.65761,1016036,cybernet.1016036,,1.0,,,,,,
2026-08-30 20:01:21,2026-08-31 01:01:21,trace,65761,cybernet.65761,1016036,cybernet.1016036,,,7,False,local,,,7.8
2026-08-30 20:02:56,2026-08-31 01:02:56,ping,65761,cybernet.65761,1016036,cybernet.1016036,,1.0,,,,,,
2026-08-30 21:02:51,2026-08-31 02:02:51,ping,65761,cybernet.65761,1016036,cybernet.1016036,,1.0,,,,,,
2026-08-30 22:03:05,2026-08-31 03:03:05,ping,65761,cybernet.65761,1016036,cybernet.1016036,,1.0,,,,,,
2026-08-30 23:03:05,2026-08-31 04:03:05,ping,65761,cybernet.65761,1016036,cybernet.1016036,,1.0,,,,,,
2026-08-31 00:03:02,2026-08-31 05:03:02,ping,65761,cybernet.65761,1016036,cybernet.1016036,,1.0,,,,,,
2026-08-31 01:03:00,2026-08-31 06:03:00,ping,65761,cybernet.65761,1016036,cybernet.1016036,,1.0,,,,,,
2026-08-31 02:03:03,2026-08-31 07:03:03,ping,65761,cybernet.65761,1016036,cybernet.1016036,,1.0,,,,,,
2026-08-31 03:02:54,2026-08-31 08:02:54,ping,65761,cybernet.65761,1016036,cybernet.1016036,,1.0,,,,,,
2026-08-31 04:02:51,2026-08-31 09:02:51,ping,65761,cybernet.65761,1016036,cybernet.1016036,,1.0,,,,,,
2026-08-31 05:03:03,2026-08-31 10:03:03,ping,65761,cybernet.65761,1016036,cybernet.1016036,,1.0,,,,,,
2026-08-31 06:02:52,2026-08-31 11:02:52,ping,65761,cybernet.65761,1016036,cybernet.1016036,,1.0,,,,,,
2026-08-31 07:02:58,2026-08-31 12:02:58,ping,65761,cybernet.65761,1016036,cybernet.1016036,,1.0,,,,,,
2026-08-31 08:01:21,2026-08-31 13:01:21,trace,65761,cybernet.65761,1016036,cybernet.1016036,,,7,False,local,,,8.5
2026-08-31 08:02:51,2026-08-31 13:02:51,ping,65761,cybernet.65761,1016036,cybernet.1016036,,1.0,,,,,,
2026-08-31 09:03:05,2026-08-31 14:03:05,ping,65761,cybernet.65761,1016036,cybernet.1016036,,1.0,,,,,,
2026-08-31 10:03:03,2026-08-31 15:03:03,ping,65761,cybernet.65761,1016036,cybernet.1016036,,1.0,,,,,,
2026-08-28 20:03:08,2026-08-29 01:03:08,ping,1001359,falcon.1001359,1016036,cybernet.1016036,,1.0,,,,,,
2026-08-28 22:03:02,2026-08-29 03:03:02,ping,1001359,falcon.1001359,1016036,cybernet.1016036,,1.0,,,,,,
2026-08-28 23:03:03,2026-08-29 04:03:03,ping,1001359,falcon.1001359,1016036,cybernet.1016036,,1.0,,,,,,
2026-08-29 00:02:54,2026-08-29 05:02:54,ping,1001359,falcon.1001359,1016036,cybernet.1016036,,1.0,,,,,,
2026-08-29 01:02:54,2026-08-29 06:02:54,ping,1001359,falcon.1001359,1016036,cybernet.1016036,,1.0,,,,,,
2026-08-29 02:02:54,2026-08-29 07:02:54,ping,1001359,falcon.1001359,1016036,cybernet.1016036,,1.0,,,,,,
2026-08-29 03:02:55,2026-08-29 08:02:55,ping,1001359,falcon.1001359,1016036,cybernet.1016036,,1.0,,,,,,
2026-08-29 04:03:08,2026-08-29 09:03:08,ping,1001359,falcon.1001359,1016036,cybernet.1016036,,1.0,,,,,,
2026-08-29 05:03:03,2026-08-29 10:03:03,ping,1001359,falcon.1001359,1016036,cybernet.1016036,,1.0,,,,,,
2026-08-29 06:03:07,2026-08-29 11:03:07,ping,1001359,falcon.1001359,1016036,cybernet.1016036,,1.0,,,,,,
2026-08-29 07:03:02,2026-08-29 12:03:02,ping,1001359,falcon.1001359,1016036,cybernet.1016036,,1.0,,,,,,
2026-08-29 08:00:50,2026-08-29 13:00:50,trace,1001359,falcon.1001359,1016036,cybernet.1016036,,,11,False,local,,,26.5
2026-08-29 08:03:03,2026-08-29 13:03:03,ping,1001359,falcon.1001359,1016036,cybernet.1016036,,1.0,,,,,,
2026-08-29 09:03:03,2026-08-29 14:03:03,ping,1001359,falcon.1001359,1016036,cybernet.1016036,,1.0,,,,,,
2026-08-29 10:02:57,2026-08-29 15:02:57,ping,1001359,falcon.1001359,1016036,cybernet.1016036,,1.0,,,,,,
2026-08-29 15:03:04,2026-08-29 20:03:04,ping,1001359,falcon.1001359,1016036,cybernet.1016036,,1.0,,,,,,
2026-08-29 16:03:01,2026-08-29 21:03:01,ping,1001359,falcon.1001359,1016036,cybernet.1016036,,1.0,,,,,,
2026-08-29 17:02:57,2026-08-29 22:02:57,ping,1001359,falcon.1001359,1016036,cybernet.1016036,,1.0,,,,,,
2026-08-29 20:00:51,2026-08-30 01:00:51,trace,1001359,falcon.1001359,1016036,cybernet.1016036,,,0,False,inconclusive,,,
2026-08-29 20:02:58,2026-08-30 01:02:58,ping,1001359,falcon.1001359,1016036,cybernet.1016036,,,,,,,,
2026-08-29 21:03:02,2026-08-30 02:03:02,ping,1001359,falcon.1001359,1016036,cybernet.1016036,,,,,,,,
2026-08-29 22:03:05,2026-08-30 03:03:05,ping,1001359,falcon.1001359,1016036,cybernet.1016036,,,,,,,,
2026-08-30 01:02:57,2026-08-30 06:02:57,ping,1001359,falcon.1001359,1016036,cybernet.1016036,,1.0,,,,,,
2026-08-30 02:02:57,2026-08-30 07:02:57,ping,1001359,falcon.1001359,1016036,cybernet.1016036,,1.0,,,,,,
2026-08-30 03:02:58,2026-08-30 08:02:58,ping,1001359,falcon.1001359,1016036,cybernet.1016036,,1.0,,,,,,
2026-08-30 04:03:02,2026-08-30 09:03:02,ping,1001359,falcon.1001359,1016036,cybernet.1016036,,1.0,,,,,,
2026-08-30 05:03:03,2026-08-30 10:03:03,ping,1001359,falcon.1001359,1016036,cybernet.1016036,,1.0,,,,,,
2026-08-30 06:03:04,2026-08-30 11:03:04,ping,1001359,falcon.1001359,1016036,cybernet.1016036,,1.0,,,,,,
2026-08-30 07:03:08,2026-08-30 12:03:08,ping,1001359,falcon.1001359,1016036,cybernet.1016036,,1.0,,,,,,
2026-08-30 08:01:00,2026-08-30 13:01:00,trace,1001359,falcon.1001359,1016036,cybernet.1016036,,,8,False,local,,,22.0
2026-08-30 08:02:57,2026-08-30 13:02:57,ping,1001359,falcon.1001359,1016036,cybernet.1016036,,1.0,,,,,,
2026-08-30 09:02:55,2026-08-30 14:02:55,ping,1001359,falcon.1001359,1016036,cybernet.1016036,,1.0,,,,,,
2026-08-30 10:03:01,2026-08-30 15:03:01,ping,1001359,falcon.1001359,1016036,cybernet.1016036,,1.0,,,,,,
2026-08-30 13:03:00,2026-08-30 18:03:00,ping,1001359,falcon.1001359,1016036,cybernet.1016036,,1.0,,,,,,
2026-08-30 14:02:57,2026-08-30 19:02:57,ping,1001359,falcon.1001359,1016036,cybernet.1016036,,1.0,,,,,,
2026-08-30 15:03:01,2026-08-30 20:03:01,ping,1001359,falcon.1001359,1016036,cybernet.1016036,,1.0,,,,,,
2026-08-30 16:03:00,2026-08-30 21:03:00,ping,1001359,falcon.1001359,1016036,cybernet.1016036,,1.0,,,,,,
2026-08-30 18:03:04,2026-08-30 23:03:04,ping,1001359,falcon.1001359,1016036,cybernet.1016036,,1.0,,,,,,
2026-08-30 19:02:54,2026-08-31 00:02:54,ping,1001359,falcon.1001359,1016036,cybernet.1016036,,1.0,,,,,,
2026-08-30 20:00:52,2026-08-31 01:00:52,trace,1001359,falcon.1001359,1016036,cybernet.1016036,,,12,False,local,,,41.5
2026-08-30 20:03:04,2026-08-31 01:03:04,ping,1001359,falcon.1001359,1016036,cybernet.1016036,,1.0,,,,,,
2026-08-30 21:02:56,2026-08-31 02:02:56,ping,1001359,falcon.1001359,1016036,cybernet.1016036,,1.0,,,,,,
2026-08-30 22:02:56,2026-08-31 03:02:56,ping,1001359,falcon.1001359,1016036,cybernet.1016036,,1.0,,,,,,
2026-08-30 23:03:00,2026-08-31 04:03:00,ping,1001359,falcon.1001359,1016036,cybernet.1016036,,1.0,,,,,,
2026-08-31 00:02:54,2026-08-31 05:02:54,ping,1001359,falcon.1001359,1016036,cybernet.1016036,,1.0,,,,,,
2026-08-31 01:02:54,2026-08-31 06:02:54,ping,1001359,falcon.1001359,1016036,cybernet.1016036,,1.0,,,,,,
2026-08-31 02:03:05,2026-08-31 07:03:05,ping,1001359,falcon.1001359,1016036,cybernet.1016036,,1.0,,,,,,
2026-08-31 03:02:54,2026-08-31 08:02:54,ping,1001359,falcon.1001359,1016036,cybernet.1016036,,1.0,,,,,,
2026-08-31 05:03:08,2026-08-31 10:03:08,ping,1001359,falcon.1001359,1016036,cybernet.1016036,,1.0,,,,,,
2026-08-31 06:02:59,2026-08-31 11:02:59,ping,1001359,falcon.1001359,1016036,cybernet.1016036,,1.0,,,,,,
2026-08-31 07:02:56,2026-08-31 12:02:56,ping,1001359,falcon.1001359,1016036,cybernet.1016036,,1.0,,,,,,
2026-08-31 08:00:49,2026-08-31 13:00:49,trace,1001359,falcon.1001359,1016036,cybernet.1016036,,,11,False,local,,,25.4
2026-08-31 08:02:57,2026-08-31 13:02:57,ping,1001359,falcon.1001359,1016036,cybernet.1016036,,1.0,,,,,,
2026-08-31 09:02:54,2026-08-31 14:02:54,ping,1001359,falcon.1001359,1016036,cybernet.1016036,,1.0,,,,,,
2026-08-31 10:03:05,2026-08-31 15:03:05,ping,1001359,falcon.1001359,1016036,cybernet.1016036,,1.0,,,,,,
2026-08-28 20:00:49,2026-08-29 01:00:49,trace,1014872,fasttel.1014872,1016036,cybernet.1016036,,,6,False,local,,,29.7
2026-08-28 20:03:05,2026-08-29 01:03:05,ping,1014872,fasttel.1014872,1016036,cybernet.1016036,,1.0,,,,,,
2026-08-28 21:03:08,2026-08-29 02:03:08,ping,1014872,fasttel.1014872,1016036,cybernet.1016036,,1.0,,,,,,
2026-08-28 22:02:54,2026-08-29 03:02:54,ping,1014872,fasttel.1014872,1016036,cybernet.1016036,,1.0,,,,,,
2026-08-28 23:03:07,2026-08-29 04:03:07,ping,1014872,fasttel.1014872,1016036,cybernet.1016036,,1.0,,,,,,
2026-08-29 00:03:04,2026-08-29 05:03:04,ping,1014872,fasttel.1014872,1016036,cybernet.1016036,,1.0,,,,,,
2026-08-29 01:03:08,2026-08-29 06:03:08,ping,1014872,fasttel.1014872,1016036,cybernet.1016036,,1.0,,,,,,
2026-08-29 02:03:03,2026-08-29 07:03:03,ping,1014872,fasttel.1014872,1016036,cybernet.1016036,,1.0,,,,,,
2026-08-29 03:02:59,2026-08-29 08:02:59,ping,1014872,fasttel.1014872,1016036,cybernet.1016036,,1.0,,,,,,
2026-08-29 04:02:54,2026-08-29 09:02:54,ping,1014872,fasttel.1014872,1016036,cybernet.1016036,,1.0,,,,,,
2026-08-29 05:03:03,2026-08-29 10:03:03,ping,1014872,fasttel.1014872,1016036,cybernet.1016036,,1.0,,,,,,
2026-08-29 06:03:03,2026-08-29 11:03:03,ping,1014872,fasttel.1014872,1016036,cybernet.1016036,,1.0,,,,,,
2026-08-29 07:03:01,2026-08-29 12:03:01,ping,1014872,fasttel.1014872,1016036,cybernet.1016036,,1.0,,,,,,
2026-08-29 08:00:48,2026-08-29 13:00:48,trace,1014872,fasttel.1014872,1016036,cybernet.1016036,,,7,False,local,,,33.9
2026-08-29 08:02:56,2026-08-29 13:02:56,ping,1014872,fasttel.1014872,1016036,cybernet.1016036,,1.0,,,,,,
2026-08-29 09:02:58,2026-08-29 14:02:58,ping,1014872,fasttel.1014872,1016036,cybernet.1016036,,1.0,,,,,,
2026-08-29 10:03:04,2026-08-29 15:03:04,ping,1014872,fasttel.1014872,1016036,cybernet.1016036,,1.0,,,,,,
