tranco_rank,domain,ip,asn,as_name,netname,second_check,in_pass1
94041,sims.pk,115.186.173.250,23674,"NAYATEL-PK - Nayatel (Pvt) Ltd, PK",NAYATEL-PK,agree,no
95254,uaf.edu.pk,203.124.33.162,7590,"COMSATS - Commission on Science and Technology for, PK",COMSATS,agree,yes
101588,iqra.edu.pk,103.138.162.150,139024,"IQRAUNIVERSITY-AS-AP - Iqra University, PK",IQRAUNIVERSITY-PK,agree,yes
102122,pmdc.pk,175.107.60.117,23888,"NTC-AS-AP - National Telecommunication Corporation HQ,, PK",NTCISP-PK,agree,yes
102355,pshealthpunjab.gov.pk,116.58.20.78,17563,"NEXLINX-AS-AP - Autonomous System Number for Nexlinx, PK",NEXLINX-AP,agree,yes
104378,comsats.net.pk,210.56.11.242,7590,"COMSATS - Commission on Science and Technology for, PK",COMSATS,agree,yes
105072,gepco.com.pk,163.61.25.23,153561,"PITC1-AS-AP - PITC, PK",PITC1-PK,agree,yes
105330,ebonenet.com,103.24.96.102,58895,"EBONE1-PK - Ebone Network (PVT.) Limited, PK",EBONE1-PK,agree,yes
108402,etea.edu.pk,115.167.74.9,38547,"WITRIBE-AS-AP - WITRIBE PAKISTAN LIMITED, PK",SHARP-TELECOM-PVT-LTD,agree,yes
109213,cuecinemas.com,202.141.242.194,9260,"MULTINET-AS-AP - Multinet Pakistan Pvt. Ltd., PK",MULTINETPAKISTAN,agree,yes
109512,mes.gov.pk,210.56.8.62,7590,"COMSATS - Commission on Science and Technology for, PK",COMSATS,agree,yes
109746,sts.org.pk,103.152.255.113,135523,"MULTINET-IE-AS-AP - Multinet Broadband, PK",NEXUS-PK,agree,yes
109816,universalcinemas.com,103.69.111.99,23966,"LDN-AS-PK - LINKdotNET Telecom Limited, PK",NHPL-PK,agree,yes
112639,pesrp.edu.pk,116.58.56.30,17563,"NEXLINX-AS-AP - Autonomous System Number for Nexlinx, PK",NEXLINX-AP,agree,no
118877,kohat.edu.pk,121.52.146.165,45773,"HECPERN-AS-PK - PERN AS Content Servie Provider, Islamabad, Pakistan, PK",PERN-PK,agree,no
120076,nexlinx.net.pk,202.59.80.26,17563,"NEXLINX-AS-AP - Autonomous System Number for Nexlinx, PK",NEXLINX-AP,agree,no
120424,comsats.edu.pk,210.56.11.242,7590,"COMSATS - Commission on Science and Technology for, PK",COMSATS,agree,yes
