trace_time,target_hostname,target_label,target_category,probe_id,probe_asn,probe_asn_reg,probe_city,probe_ip,target_ip,target_asn,target_asn_name,target_country,dest_rtt_ms,total_hops,timeout_hops,asns_in_path,countries_in_path,dest_location,location_via,destination_responded,measurement_id
2026-06-15T04:28:35+00:00,daraz.pk,Daraz,ecommerce,1015679,136174,136174,LocalInternetProj01 Lahore,103.184.1.10,47.246.167.168,45102,"ALIBABA-CN-NET - Alibaba (US) Technology Co., Ltd., CN",US,97.686,6,5,6327 > 38193 > 45102,CA > PK > US,"Singapore, North West, SG",server IP,True,180055878
2026-06-15T04:43:37+00:00,daraz.pk,Daraz,ecommerce,1015679,136174,136174,LocalInternetProj01 Lahore,103.184.1.10,47.246.167.168,45102,"ALIBABA-CN-NET - Alibaba (US) Technology Co., Ltd., CN",US,97.517,7,4,6327 > 38193 > 45102,CA > PK > US,"Singapore, North West, SG",server IP,True,180055878
2026-06-15T04:58:29+00:00,daraz.pk,Daraz,ecommerce,1015679,136174,136174,LocalInternetProj01 Lahore,103.184.1.10,47.246.167.168,45102,"ALIBABA-CN-NET - Alibaba (US) Technology Co., Ltd., CN",US,97.592,7,4,6327 > 38193 > 45102,CA > PK > US,"Singapore, North West, SG",server IP,True,180055878
2026-06-15T05:13:31+00:00,daraz.pk,Daraz,ecommerce,1015679,136174,136174,LocalInternetProj01 Lahore,103.184.1.10,47.246.167.168,45102,"ALIBABA-CN-NET - Alibaba (US) Technology Co., Ltd., CN",US,97.675,6,5,6327 > 38193 > 45102,CA > PK > US,"Singapore, North West, SG",server IP,True,180055878
2026-06-15T05:28:37+00:00,daraz.pk,Daraz,ecommerce,1015679,136174,136174,LocalInternetProj01 Lahore,103.184.1.10,47.246.167.168,45102,"ALIBABA-CN-NET - Alibaba (US) Technology Co., Ltd., CN",US,97.702,6,5,6327 > 38193 > 45102,CA > PK > US,"Singapore, North West, SG",server IP,True,180055878
2026-06-15T05:43:32+00:00,daraz.pk,Daraz,ecommerce,1015679,136174,136174,LocalInternetProj01 Lahore,103.184.1.10,47.246.167.168,45102,"ALIBABA-CN-NET - Alibaba (US) Technology Co., Ltd., CN",US,98.044,6,5,6327 > 38193 > 45102,CA > PK > US,"Singapore, North West, SG",server IP,True,180055878
2026-06-15T05:58:37+00:00,daraz.pk,Daraz,ecommerce,1015679,136174,136174,LocalInternetProj01 Lahore,103.184.1.10,47.246.167.168,45102,"ALIBABA-CN-NET - Alibaba (US) Technology Co., Ltd., CN",US,97.728,7,4,6327 > 38193 > 45102,CA > PK > US,"Singapore, North West, SG",server IP,True,180055878
2026-06-15T06:13:41+00:00,daraz.pk,Daraz,ecommerce,1015679,136174,136174,LocalInternetProj01 Lahore,103.184.1.10,47.246.167.168,45102,"ALIBABA-CN-NET - Alibaba (US) Technology Co., Ltd., CN",US,100.557,7,4,6327 > 38193 > 45102,CA > PK > US,"Singapore, North West, SG",server IP,True,180055878
2026-06-15T06:28:36+00:00,daraz.pk,Daraz,ecommerce,1015679,136174,136174,LocalInternetProj01 Lahore,103.184.1.10,47.246.167.168,45102,"ALIBABA-CN-NET - Alibaba (US) Technology Co., Ltd., CN",US,100.729,6,5,6327 > 38193 > 45102,CA > PK > US,"Singapore, North West, SG",server IP,True,180055878
2026-06-15T06:43:40+00:00,daraz.pk,Daraz,ecommerce,1015679,136174,136174,LocalInternetProj01 Lahore,103.184.1.10,47.246.167.168,45102,"ALIBABA-CN-NET - Alibaba (US) Technology Co., Ltd., CN",US,100.694,7,4,6327 > 38193 > 45102,CA > PK > US,"Singapore, North West, SG",server IP,True,180055878
